ppm,intensity,intensity_shifted
536.495,0.567439,600.567439
536.48,0.589455,600.589455
536.466,0.61267,600.61267
536.451,0.637055,600.637055
536.437,0.66257,600.66257
536.422,0.689181,600.689181
536.408,0.716839,600.716839
536.394,0.745495,600.745495
536.379,0.775097,600.775097
536.365,0.805586,600.805586
536.35,0.836902,600.836902
536.336,0.868977,600.868977
536.321,0.901747,600.901747
536.307,0.935141,600.935141
536.292,0.969083,600.969083
536.278,1.0035,601.0035
536.264,1.0383,601.0383
536.249,1.07342,601.07342
536.235,1.10876,601.10876
536.22,1.14425,601.14425
536.206,1.1798,601.1798
536.191,1.21531,601.21531
536.177,1.2507,601.2507
536.162,1.28589,601.28589
536.148,1.32077,601.32077
536.134,1.35527,601.35527
536.119,1.3893,601.3893
536.105,1.42275,601.42275
536.09,1.45555,601.45555
536.076,1.48761,601.48761
536.061,1.51884,601.51884
536.047,1.54915,601.54915
536.033,1.57846,601.57846
536.018,1.60669,601.60669
536.004,1.63375,601.63375
535.989,1.65958,601.65958
535.975,1.68409,601.68409
535.96,1.70721,601.70721
535.946,1.72887,601.72887
535.931,1.74901,601.74901
535.917,1.76756,601.76756
535.903,1.78446,601.78446
535.888,1.79965,601.79965
535.874,1.81309,601.81309
535.859,1.82472,601.82472
535.845,1.8345,601.8345
535.83,1.8424,601.8424
535.816,1.84837,601.84837
535.801,1.85239,601.85239
535.787,1.85443,601.85443
535.773,1.85447,601.85447
535.758,1.8525,601.8525
535.744,1.8485,601.8485
535.729,1.84248,601.84248
535.715,1.83443,601.83443
535.7,1.82436,601.82436
535.686,1.81227,601.81227
535.671,1.7982,601.7982
535.657,1.78215,601.78215
535.643,1.76415,601.76415
535.628,1.74425,601.74425
535.614,1.72247,601.72247
535.599,1.69886,601.69886
535.585,1.67346,601.67346
535.57,1.64634,601.64634
535.556,1.61755,601.61755
535.541,1.58715,601.58715
535.527,1.5552,601.5552
535.513,1.52178,601.52178
535.498,1.48697,601.48697
535.484,1.45084,601.45084
535.469,1.41348,601.41348
535.455,1.37497,601.37497
535.44,1.3354,601.3354
535.426,1.29486,601.29486
535.411,1.25346,601.25346
535.397,1.21127,601.21127
535.383,1.16842,601.16842
535.368,1.12498,601.12498
535.354,1.08107,601.08107
535.339,1.03678,601.03678
535.325,0.992223,600.992223
535.31,0.9475,600.9475
535.296,0.902709,600.902709
535.281,0.857958,600.857958
535.267,0.813341,600.813341
535.253,0.768964,600.768964
535.238,0.72492,600.72492
535.224,0.681311,600.681311
535.209,0.63823,600.63823
535.195,0.595766,600.595766
535.18,0.554011,600.554011
535.166,0.513048,600.513048
535.151,0.472961,600.472961
535.137,0.43383,600.43383
535.123,0.395728,600.395728
535.108,0.358727,600.358727
535.094,0.322891,600.322891
535.079,0.288286,600.288286
535.065,0.254967,600.254967
535.05,0.222987,600.222987
535.036,0.192397,600.192397
535.021,0.163234,600.163234
535.007,0.135539,600.135539
534.993,0.109345,600.109345
534.978,0.0846813,600.0846813
534.964,0.0615656,600.0615656
534.949,0.0400172,600.0400172
534.935,0.0200516,600.0200516
534.92,0.00167188,600.0016719
534.906,-0.0151156,599.9848844
534.891,-0.0303156,599.9696844
534.877,-0.0439297,599.9560703
534.863,-0.0559766,599.9440234
534.848,-0.0664625,599.9335375
534.834,-0.0754156,599.9245844
534.819,-0.0828531,599.9171469
534.805,-0.0888016,599.9111984
534.79,-0.0932937,599.9067063
534.776,-0.0963625,599.9036375
534.761,-0.0980422,599.9019578
534.747,-0.0983734,599.9016266
534.733,-0.0973953,599.9026047
534.718,-0.09515,599.90485
534.704,-0.0916844,599.9083156
534.689,-0.0870422,599.9129578
534.675,-0.0812719,599.9187281
534.66,-0.0744234,599.9255766
534.646,-0.0665422,599.9334578
534.631,-0.0576828,599.9423172
534.617,-0.0478906,599.9521094
534.603,-0.0372172,599.9627828
534.588,-0.0257109,599.9742891
534.574,-0.0134203,599.9865797
534.559,-0.00039375,599.9996063
534.545,0.0133234,600.0133234
534.53,0.0276844,600.0276844
534.516,0.0426437,600.0426437
534.501,0.0581609,600.0581609
534.487,0.0741906,600.0741906
534.473,0.0906937,600.0906937
534.458,0.107636,600.107636
534.444,0.124977,600.124977
534.429,0.142684,600.142684
534.415,0.160723,600.160723
534.4,0.179066,600.179066
534.386,0.197681,600.197681
534.372,0.216544,600.216544
534.357,0.235628,600.235628
534.343,0.254911,600.254911
534.328,0.274372,600.274372
534.314,0.293991,600.293991
534.299,0.313747,600.313747
534.285,0.333627,600.333627
534.27,0.353612,600.353612
534.256,0.373691,600.373691
534.242,0.39385,600.39385
534.227,0.414072,600.414072
534.213,0.434352,600.434352
534.198,0.454677,600.454677
534.184,0.475034,600.475034
534.169,0.495416,600.495416
534.155,0.515813,600.515813
534.14,0.536211,600.536211
534.126,0.556605,600.556605
534.112,0.576981,600.576981
534.097,0.59733,600.59733
534.083,0.617641,600.617641
534.068,0.637902,600.637902
534.054,0.6581,600.6581
534.039,0.67822,600.67822
534.025,0.698253,600.698253
534.01,0.71818,600.71818
533.996,0.737987,600.737987
533.982,0.757656,600.757656
533.967,0.77717,600.77717
533.953,0.796508,600.796508
533.938,0.815652,600.815652
533.924,0.83458,600.83458
533.909,0.853269,600.853269
533.895,0.8717,600.8717
533.88,0.889847,600.889847
533.866,0.907686,600.907686
533.852,0.925194,600.925194
533.837,0.942344,600.942344
533.823,0.959111,600.959111
533.808,0.975469,600.975469
533.794,0.991392,600.991392
533.779,1.00685,601.00685
533.765,1.02183,601.02183
533.75,1.0363,601.0363
533.736,1.05022,601.05022
533.722,1.06359,601.06359
533.707,1.07638,601.07638
533.693,1.08856,601.08856
533.678,1.10011,601.10011
533.664,1.11102,601.11102
533.649,1.12126,601.12126
533.635,1.13082,601.13082
533.62,1.13969,601.13969
533.606,1.14785,601.14785
533.592,1.1553,601.1553
533.577,1.16201,601.16201
533.563,1.168,601.168
533.548,1.17324,601.17324
533.534,1.17774,601.17774
533.519,1.1815,601.1815
533.505,1.18453,601.18453
533.49,1.18683,601.18683
533.476,1.1884,601.1884
533.462,1.18926,601.18926
533.447,1.18941,601.18941
533.433,1.18887,601.18887
533.418,1.18767,601.18767
533.404,1.1858,601.1858
533.389,1.18331,601.18331
533.375,1.1802,601.1802
533.36,1.1765,601.1765
533.346,1.17223,601.17223
533.332,1.16743,601.16743
533.317,1.16211,601.16211
533.303,1.15631,601.15631
533.288,1.15005,601.15005
533.274,1.14337,601.14337
533.259,1.13629,601.13629
533.245,1.12884,601.12884
533.23,1.12105,601.12105
533.216,1.11295,601.11295
533.202,1.10456,601.10456
533.187,1.09591,601.09591
533.173,1.08703,601.08703
533.158,1.07795,601.07795
533.144,1.06867,601.06867
533.129,1.05924,601.05924
533.115,1.04966,601.04966
533.1,1.03995,601.03995
533.086,1.03013,601.03013
533.072,1.02021,601.02021
533.057,1.01019,601.01019
533.043,1.0001,601.0001
533.028,0.989928,600.989928
533.014,0.979684,600.979684
532.999,0.969369,600.969369
532.985,0.958973,600.958973
532.97,0.948503,600.948503
532.956,0.937944,600.937944
532.942,0.927289,600.927289
532.927,0.916527,600.916527
532.913,0.905642,600.905642
532.898,0.894619,600.894619
532.884,0.883442,600.883442
532.869,0.872089,600.872089
532.855,0.860539,600.860539
532.84,0.848773,600.848773
532.826,0.836766,600.836766
532.812,0.824492,600.824492
532.797,0.811933,600.811933
532.783,0.799058,600.799058
532.768,0.785845,600.785845
532.754,0.772272,600.772272
532.739,0.758311,600.758311
532.725,0.743945,600.743945
532.711,0.729147,600.729147
532.696,0.713902,600.713902
532.682,0.698189,600.698189
532.667,0.681994,600.681994
532.653,0.665302,600.665302
532.638,0.648102,600.648102
532.624,0.630387,600.630387
532.609,0.612153,600.612153
532.595,0.593395,600.593395
532.581,0.574114,600.574114
532.566,0.55432,600.55432
532.552,0.534016,600.534016
532.537,0.513219,600.513219
532.523,0.491941,600.491941
532.508,0.470205,600.470205
532.494,0.448033,600.448033
532.479,0.425455,600.425455
532.465,0.4025,600.4025
532.451,0.379209,600.379209
532.436,0.355614,600.355614
532.422,0.331764,600.331764
532.407,0.307702,600.307702
532.393,0.283477,600.283477
532.378,0.259141,600.259141
532.364,0.23475,600.23475
532.349,0.210361,600.210361
532.335,0.186031,600.186031
532.321,0.161822,600.161822
532.306,0.137797,600.137797
532.292,0.114017,600.114017
532.277,0.09055,600.09055
532.263,0.0674578,600.0674578
532.248,0.0448016,600.0448016
532.234,0.02265,600.02265
532.219,0.0010625,600.0010625
532.205,-0.0199031,599.9800969
532.191,-0.0401812,599.9598188
532.176,-0.0597219,599.9402781
532.162,-0.0784672,599.9215328
532.147,-0.0963687,599.9036313
532.133,-0.113377,599.886623
532.118,-0.12945,599.87055
532.104,-0.144548,599.855452
532.089,-0.158634,599.841366
532.075,-0.171683,599.828317
532.061,-0.183667,599.816333
532.046,-0.194567,599.805433
532.032,-0.20437,599.79563
532.017,-0.213067,599.786933
532.003,-0.220656,599.779344
531.988,-0.227141,599.772859
531.974,-0.232531,599.767469
531.959,-0.236844,599.763156
531.945,-0.2401,599.7599
531.931,-0.242325,599.757675
531.916,-0.243555,599.756445
531.902,-0.243828,599.756172
531.887,-0.243191,599.756809
531.873,-0.241689,599.758311
531.858,-0.239381,599.760619
531.844,-0.236327,599.763673
