ppm,intensity,intensity_shifted
132.672,-2.98459,48.8658558
132.658,-3.06391,48.8357142
132.645,-3.14906,48.8033572
132.631,-3.23943,48.7690166
132.617,-3.33437,48.7329394
132.604,-3.43322,48.6953764
132.59,-3.53531,48.6565822
132.577,-3.63996,48.6168152
132.563,-3.74649,48.5763338
132.55,-3.85424,48.5353888
132.536,-3.96261,48.4942082
132.523,-4.07096,48.4530352
132.509,-4.17872,48.4120864
132.495,-4.28538,48.3715556
132.482,-4.39043,48.3316366
132.468,-4.49346,48.2924852
132.455,-4.59406,48.2542572
132.441,-4.6919,48.217078
132.428,-4.78673,48.1810426
132.414,-4.87831,48.1462422
132.401,-4.96649,48.1127338
132.387,-5.05116,48.0805592
132.373,-5.13226,48.0497412
132.36,-5.20979,48.0202798
132.346,-5.28378,47.9921636
132.333,-5.35431,47.9653622
132.319,-5.42151,47.9398262
132.306,-5.48552,47.9155024
132.292,-5.5465,47.89233
132.279,-5.60466,47.8702292
132.265,-5.66019,47.8491278
132.251,-5.71334,47.8289308
132.238,-5.76432,47.8095584
132.224,-5.81337,47.7909194
132.211,-5.86072,47.7729264
132.197,-5.9066,47.755492
132.184,-5.95122,47.7385364
132.17,-5.99481,47.7219722
132.156,-6.03754,47.7057348
132.143,-6.07965,47.689733
132.129,-6.12129,47.6739098
132.116,-6.16264,47.6581968
132.102,-6.20389,47.6425218
132.089,-6.24517,47.6268354
132.075,-6.28665,47.611073
132.062,-6.3285,47.59517
132.048,-6.37084,47.5790808
132.034,-6.41387,47.5627294
132.021,-6.45772,47.5460664
132.007,-6.50256,47.5290272
131.994,-6.54859,47.5115358
131.98,-6.59599,47.4935238
131.967,-6.64495,47.474919
131.953,-6.69569,47.4556378
131.94,-6.74844,47.4355928
131.926,-6.80342,47.4147004
131.912,-6.86087,47.3928694
131.899,-6.92106,47.3699972
131.885,-6.98422,47.3459964
131.872,-7.05064,47.3207568
131.858,-7.12052,47.2942024
131.845,-7.19415,47.266223
131.831,-7.27174,47.2367388
131.818,-7.3535,47.20567
131.804,-7.43962,47.1729444
131.79,-7.53028,47.1384936
131.777,-7.6256,47.102272
131.763,-7.72565,47.064253
