ppm,intensity,intensity_shifted
536.495,-2.35939,1496.460915
536.48,-2.32131,1496.518035
536.466,-2.28371,1496.574435
536.451,-2.24671,1496.629935
536.437,-2.21044,1496.68434
536.422,-2.17502,1496.73747
536.408,-2.14057,1496.789145
536.394,-2.10719,1496.839215
536.379,-2.075,1496.8875
536.365,-2.0441,1496.93385
536.35,-2.01459,1496.978115
536.336,-1.98655,1497.020175
536.321,-1.96007,1497.059895
536.307,-1.93523,1497.097155
536.292,-1.91209,1497.131865
536.278,-1.89071,1497.163935
536.264,-1.87115,1497.193275
536.249,-1.85343,1497.219855
536.235,-1.83761,1497.243585
536.22,-1.82368,1497.26448
536.206,-1.81168,1497.28248
536.191,-1.8016,1497.2976
536.177,-1.79344,1497.30984
536.162,-1.78717,1497.319245
536.148,-1.78278,1497.32583
536.134,-1.78022,1497.32967
536.119,-1.77946,1497.33081
536.105,-1.78043,1497.329355
536.09,-1.78308,1497.32538
536.076,-1.78733,1497.319005
536.061,-1.79311,1497.310335
536.047,-1.80032,1497.29952
536.033,-1.80889,1497.286665
536.018,-1.8187,1497.27195
536.004,-1.82966,1497.25551
535.989,-1.84165,1497.237525
535.975,-1.85456,1497.21816
535.96,-1.86828,1497.19758
535.946,-1.88267,1497.175995
535.931,-1.89763,1497.153555
535.917,-1.91302,1497.13047
535.903,-1.92872,1497.10692
535.888,-1.9446,1497.0831
535.874,-1.96054,1497.05919
535.859,-1.97642,1497.03537
535.845,-1.99212,1497.01182
535.83,-2.00751,1496.988735
535.816,-2.02248,1496.96628
535.801,-2.03692,1496.94462
535.787,-2.05072,1496.92392
535.773,-2.06379,1496.904315
535.758,-2.07603,1496.885955
535.744,-2.08734,1496.86899
535.729,-2.09765,1496.853525
535.715,-2.10687,1496.839695
535.7,-2.11495,1496.827575
535.686,-2.12182,1496.81727
535.671,-2.12743,1496.808855
535.657,-2.13173,1496.802405
535.643,-2.13469,1496.797965
535.628,-2.13629,1496.795565
535.614,-2.1365,1496.79525
535.599,-2.1353,1496.79705
535.585,-2.13271,1496.800935
535.57,-2.12873,1496.806905
535.556,-2.12336,1496.81496
535.541,-2.11664,1496.82504
535.527,-2.10858,1496.83713
535.513,-2.09924,1496.85114
535.498,-2.08864,1496.86704
535.484,-2.07685,1496.884725
535.469,-2.06391,1496.904135
535.455,-2.04989,1496.925165
535.44,-2.03486,1496.94771
535.426,-2.01888,1496.97168
535.411,-2.00203,1496.996955
535.397,-1.98439,1497.023415
535.383,-1.96604,1497.05094
535.368,-1.94706,1497.07941
535.354,-1.92753,1497.108705
535.339,-1.90755,1497.138675
535.325,-1.8872,1497.1692
535.31,-1.86656,1497.20016
535.296,-1.84572,1497.23142
535.281,-1.82477,1497.262845
535.267,-1.80379,1497.294315
535.253,-1.78285,1497.325725
535.238,-1.76203,1497.356955
535.224,-1.74141,1497.387885
535.209,-1.72106,1497.41841
535.195,-1.70104,1497.44844
535.18,-1.68142,1497.47787
535.166,-1.66225,1497.506625
535.151,-1.64359,1497.534615
535.137,-1.62548,1497.56178
535.123,-1.60796,1497.58806
535.108,-1.59107,1497.613395
535.094,-1.57485,1497.637725
535.079,-1.5593,1497.66105
535.065,-1.54447,1497.683295
535.05,-1.53035,1497.704475
535.036,-1.51696,1497.72456
535.021,-1.5043,1497.74355
535.007,-1.49236,1497.76146
534.993,-1.48115,1497.778275
534.978,-1.47065,1497.794025
534.964,-1.46083,1497.808755
534.949,-1.45169,1497.822465
534.935,-1.4432,1497.8352
534.92,-1.43532,1497.84702
534.906,-1.42803,1497.857955
534.891,-1.4213,1497.86805
534.877,-1.41509,1497.877365
534.863,-1.40936,1497.88596
534.848,-1.40407,1497.893895
534.834,-1.39918,1497.90123
534.819,-1.39465,1497.908025
534.805,-1.39044,1497.91434
534.79,-1.38652,1497.92022
534.776,-1.38283,1497.925755
534.761,-1.37934,1497.93099
534.747,-1.37601,1497.935985
534.733,-1.3728,1497.9408
534.718,-1.36969,1497.945465
534.704,-1.36664,1497.95004
534.689,-1.36362,1497.95457
534.675,-1.36061,1497.959085
534.66,-1.35758,1497.96363
534.646,-1.35451,1497.968235
534.631,-1.35138,1497.97293
534.617,-1.34819,1497.977715
534.603,-1.34492,1497.98262
534.588,-1.34157,1497.987645
534.574,-1.33812,1497.99282
534.559,-1.3346,1497.9981
534.545,-1.33098,1498.00353
534.53,-1.3273,1498.00905
534.516,-1.32354,1498.01469
534.501,-1.31973,1498.020405
534.487,-1.31589,1498.026165
534.473,-1.31202,1498.03197
534.458,-1.30815,1498.037775
534.444,-1.30429,1498.043565
534.429,-1.30048,1498.04928
534.415,-1.29673,1498.054905
534.4,-1.29307,1498.060395
534.386,-1.28951,1498.065735
534.372,-1.2861,1498.07085
534.357,-1.28283,1498.075755
534.343,-1.27975,1498.080375
534.328,-1.27686,1498.08471
534.314,-1.27419,1498.088715
534.299,-1.27176,1498.09236
534.285,-1.26957,1498.095645
534.27,-1.26764,1498.09854
534.256,-1.26597,1498.101045
534.242,-1.26458,1498.10313
534.227,-1.26345,1498.104825
534.213,-1.26259,1498.106115
534.198,-1.26199,1498.107015
534.184,-1.26163,1498.107555
534.169,-1.2615,1498.10775
534.155,-1.26158,1498.10763
534.14,-1.26184,1498.10724
534.126,-1.26224,1498.10664
534.112,-1.26276,1498.10586
534.097,-1.26335,1498.104975
534.083,-1.26397,1498.104045
534.068,-1.26457,1498.103145
534.054,-1.26509,1498.102365
534.039,-1.26548,1498.10178
534.025,-1.26567,1498.101495
534.01,-1.26561,1498.101585
533.996,-1.26521,1498.102185
533.982,-1.26443,1498.103355
533.967,-1.26317,1498.105245
533.953,-1.26138,1498.10793
533.938,-1.25897,1498.111545
533.924,-1.25586,1498.11621
533.909,-1.25199,1498.122015
533.895,-1.24728,1498.12908
533.88,-1.24166,1498.13751
533.866,-1.23504,1498.14744
533.852,-1.22737,1498.158945
533.837,-1.21857,1498.172145
533.823,-1.20858,1498.18713
533.808,-1.19734,1498.20399
533.794,-1.1848,1498.2228
533.779,-1.1709,1498.24365
533.765,-1.15559,1498.266615
533.75,-1.13885,1498.291725
533.736,-1.12063,1498.319055
533.722,-1.1009,1498.34865
533.707,-1.07966,1498.38051
533.693,-1.05688,1498.41468
533.678,-1.03257,1498.451145
533.664,-1.00672,1498.48992
533.649,-0.979362,1498.530957
533.635,-0.9505,1498.57425
533.62,-0.920169,1498.619747
533.606,-0.888407,1498.66739
533.592,-0.855262,1498.717107
533.577,-0.820787,1498.76882
533.563,-0.785047,1498.82243
533.548,-0.748112,1498.877832
533.534,-0.710064,1498.934904
533.519,-0.670987,1498.99352
533.505,-0.630978,1499.053533
533.49,-0.590137,1499.114795
533.476,-0.548573,1499.177141
533.462,-0.506398,1499.240403
533.447,-0.463731,1499.304404
533.433,-0.420698,1499.368953
533.418,-0.377424,1499.433864
533.404,-0.334041,1499.498939
533.389,-0.290684,1499.563974
533.375,-0.247489,1499.628767
533.36,-0.204592,1499.693112
533.346,-0.162132,1499.756802
533.332,-0.120247,1499.81963
533.317,-0.0790734,1499.88139
533.303,-0.0387445,1499.941883
533.288,0.000604687,1500.000907
533.274,0.0388477,1500.058272
533.259,0.0758578,1500.113787
533.245,0.111516,1500.167274
533.23,0.145708,1500.218562
533.216,0.178326,1500.267489
533.202,0.209267,1500.313901
533.187,0.23844,1500.35766
533.173,0.265758,1500.398637
533.158,0.291145,1500.436718
533.144,0.31453,1500.471795
533.129,0.335859,1500.503789
533.115,0.355081,1500.532622
