ppm,intensity,intensity_shifted
533.971,0.114929,1100.229858
533.956,0.120749,1100.241498
533.942,0.126754,1100.253508
533.927,0.13292,1100.26584
533.913,0.139221,1100.278442
533.898,0.145635,1100.29127
533.884,0.152145,1100.30429
533.87,0.158731,1100.317462
533.855,0.165381,1100.330762
533.841,0.172081,1100.344162
533.826,0.178822,1100.357644
533.812,0.185596,1100.371192
533.797,0.192398,1100.384796
533.783,0.199223,1100.398446
533.768,0.20607,1100.41214
533.754,0.212936,1100.425872
533.74,0.219825,1100.43965
533.725,0.226737,1100.453474
533.711,0.233675,1100.46735
533.696,0.240644,1100.481288
533.682,0.247647,1100.495294
533.667,0.25469,1100.50938
533.653,0.261777,1100.523554
533.639,0.268912,1100.537824
533.624,0.276101,1100.552202
533.61,0.283345,1100.56669
533.595,0.290648,1100.581296
533.581,0.298011,1100.596022
533.566,0.305433,1100.610866
533.552,0.312915,1100.62583
533.537,0.320452,1100.640904
533.523,0.328038,1100.656076
533.509,0.335666,1100.671332
533.494,0.343327,1100.686654
533.48,0.351008,1100.702016
533.465,0.358695,1100.71739
533.451,0.366369,1100.732738
533.436,0.374011,1100.748022
533.422,0.381598,1100.763196
533.407,0.389104,1100.778208
533.393,0.3965,1100.793
533.379,0.403756,1100.807512
533.364,0.410837,1100.821674
533.35,0.417705,1100.83541
533.335,0.424323,1100.848646
533.321,0.430648,1100.861296
533.306,0.436637,1100.873274
533.292,0.442243,1100.884486
533.277,0.447421,1100.894842
533.263,0.452118,1100.904236
533.249,0.456286,1100.912572
533.234,0.459873,1100.919746
533.22,0.462826,1100.925652
533.205,0.465093,1100.930186
533.191,0.46662,1100.93324
533.176,0.467355,1100.93471
533.162,0.467246,1100.934492
533.147,0.466243,1100.932486
533.133,0.464295,1100.92859
533.119,0.461354,1100.922708
533.104,0.457375,1100.91475
533.09,0.452314,1100.904628
533.075,0.44613,1100.89226
533.061,0.438788,1100.877576
533.046,0.430253,1100.860506
533.032,0.420495,1100.84099
533.017,0.409489,1100.818978
533.003,0.397216,1100.794432
532.989,0.383657,1100.767314
532.974,0.368802,1100.737604
532.96,0.352647,1100.705294
532.945,0.335193,1100.670386
532.931,0.316445,1100.63289
532.916,0.296414,1100.592828
532.902,0.275121,1100.550242
532.887,0.252589,1100.505178
532.873,0.22885,1100.4577
532.859,0.203941,1100.407882
532.844,0.177905,1100.35581
532.83,0.150793,1100.301586
532.815,0.12266,1100.24532
532.801,0.0935699,1100.18714
532.786,0.0635891,1100.127178
532.772,0.0327918,1100.065584
532.757,0.00125859,1100.002517
532.743,-0.0309273,1099.938145
532.729,-0.0636762,1099.872648
532.714,-0.0968934,1099.806213
532.7,-0.130481,1099.739038
532.685,-0.164336,1099.671328
532.671,-0.198354,1099.603292
532.656,-0.232425,1099.53515
532.642,-0.266441,1099.467118
532.627,-0.300287,1099.399426
532.613,-0.333851,1099.332298
532.599,-0.367016,1099.265968
532.584,-0.399668,1099.200664
532.57,-0.43169,1099.13662
532.555,-0.462971,1099.074058
532.541,-0.493396,1099.013208
532.526,-0.522855,1098.95429
532.512,-0.551241,1098.897518
532.497,-0.578447,1098.843106
532.483,-0.604371,1098.791258
532.469,-0.628918,1098.742164
532.454,-0.651995,1098.69601
532.44,-0.673513,1098.652974
532.425,-0.693393,1098.613214
532.411,-0.711556,1098.576888
532.396,-0.727936,1098.544128
532.382,-0.742469,1098.515062
532.367,-0.755101,1098.489798
532.353,-0.765784,1098.468432
532.339,-0.774479,1098.451042
532.324,-0.781155,1098.43769
532.31,-0.785788,1098.428424
532.295,-0.788364,1098.423272
532.281,-0.788875,1098.42225
532.266,-0.787325,1098.42535
532.252,-0.783723,1098.432554
532.237,-0.77809,1098.44382
532.223,-0.770453,1098.459094
532.209,-0.760846,1098.478308
532.194,-0.749314,1098.501372
532.18,-0.735908,1098.528184
532.165,-0.720688,1098.558624
532.151,-0.703718,1098.592564
532.136,-0.685071,1098.629858
532.122,-0.66483,1098.67034
532.107,-0.643074,1098.713852
532.093,-0.619898,1098.760204
532.079,-0.595396,1098.809208
532.064,-0.569668,1098.860664
532.05,-0.542818,1098.914364
532.035,-0.514952,1098.970096
532.021,-0.48618,1099.02764
532.006,-0.456613,1099.086774
531.992,-0.426364,1099.147272
531.978,-0.395547,1099.208906
531.963,-0.364276,1099.271448
531.949,-0.332661,1099.334678
531.934,-0.300817,1099.398366
531.92,-0.268852,1099.462296
531.905,-0.236875,1099.52625
531.891,-0.20499,1099.59002
531.876,-0.173296,1099.653408
531.862,-0.141892,1099.716216
531.848,-0.110868,1099.778264
531.833,-0.0803109,1099.839378
531.819,-0.0503027,1099.899395
531.804,-0.0209176,1099.958165
531.79,0.00777617,1100.015552
531.775,0.0357168,1100.071434
531.761,0.06285,1100.1257
531.746,0.0891277,1100.178255
531.732,0.114511,1100.229022
531.718,0.138968,1100.277936
531.703,0.162474,1100.324948
531.689,0.185013,1100.370026
531.674,0.206576,1100.413152
531.66,0.227163,1100.454326
531.645,0.246779,1100.493558
531.631,0.265439,1100.530878
531.616,0.283164,1100.566328
531.602,0.299981,1100.599962
531.588,0.315927,1100.631854
531.573,0.331043,1100.662086
531.559,0.345373,1100.690746
531.544,0.358971,1100.717942
531.53,0.371894,1100.743788
531.515,0.384203,1100.768406
531.501,0.395964,1100.791928
531.486,0.407245,1100.81449
531.472,0.418116,1100.836232
531.458,0.42865,1100.8573
531.443,0.438923,1100.877846
531.429,0.449009,1100.898018
531.414,0.458983,1100.917966
531.4,0.46892,1100.93784
531.385,0.478892,1100.957784
531.371,0.48897,1100.97794
531.356,0.499224,1100.998448
531.342,0.509716,1101.019432
531.328,0.520511,1101.041022
531.313,0.531665,1101.06333
531.299,0.543229,1101.086458
531.284,0.555249,1101.110498
531.27,0.567766,1101.135532
531.255,0.580814,1101.161628
531.241,0.594419,1101.188838
531.226,0.608602,1101.217204
531.212,0.623375,1101.24675
531.198,0.638741,1101.277482
531.183,0.654697,1101.309394
531.169,0.671231,1101.342462
531.154,0.688322,1101.376644
531.14,0.705943,1101.411886
531.125,0.724055,1101.44811
531.111,0.742615,1101.48523
531.096,0.761568,1101.523136
531.082,0.780852,1101.561704
531.068,0.8004,1101.6008
531.053,0.820134,1101.640268
531.039,0.839973,1101.679946
531.024,0.859823,1101.719646
531.01,0.879592,1101.759184
530.995,0.899175,1101.79835
530.981,0.918465,1101.83693
530.966,0.937354,1101.874708
530.952,0.955723,1101.911446
530.938,0.973456,1101.946912
530.923,0.99043,1101.98086
530.909,1.00652,1102.01304
530.894,1.02161,1102.04322
530.88,1.03558,1102.07116
530.865,1.04828,1102.09656
530.851,1.05962,1102.11924
530.836,1.06946,1102.13892
530.822,1.07769,1102.15538
530.808,1.0842,1102.1684
530.793,1.08887,1102.17774
530.779,1.0916,1102.1832
530.764,1.0923,1102.1846
530.75,1.09087,1102.18174
530.735,1.08722,1102.17444
530.721,1.08129,1102.16258
530.706,1.073,1102.146
530.692,1.0623,1102.1246
530.678,1.04913,1102.09826
530.663,1.03346,1102.06692
530.649,1.01525,1102.0305
530.634,0.994484,1101.988968
530.62,0.971161,1101.942322
530.605,0.94528,1101.89056
530.591,0.916855,1101.83371
530.576,0.885912,1101.771824
530.562,0.852488,1101.704976
530.548,0.816632,1101.633264
530.533,0.778403,1101.556806
530.519,0.737871,1101.475742
530.504,0.695118,1101.390236
530.49,0.650236,1101.300472
530.475,0.603324,1101.206648
530.461,0.554497,1101.108994
530.446,0.503872,1101.007744
530.432,0.45158,1100.90316
530.418,0.397756,1100.795512
530.403,0.342545,1100.68509
530.389,0.286098,1100.572196
530.374,0.22857,1100.45714
530.36,0.170124,1100.340248
530.345,0.110925,1100.22185
530.331,0.0511441,1100.102288
530.317,-0.00904961,1099.981901
530.302,-0.0694801,1099.86104
530.288,-0.129975,1099.74005
530.273,-0.190359,1099.619282
530.259,-0.250458,1099.499084
530.244,-0.3101,1099.3798
530.23,-0.369118,1099.261764
530.215,-0.427344,1099.145312
530.201,-0.484618,1099.030764
530.187,-0.540785,1098.91843
530.172,-0.595692,1098.808616
530.158,-0.6492,1098.7016
530.143,-0.701168,1098.597664
530.129,-0.751472,1098.497056
530.114,-0.79999,1098.40002
530.1,-0.846615,1098.30677
530.085,-0.891245,1098.21751
530.071,-0.933789,1098.132422
530.057,-0.974169,1098.051662
530.042,-1.01232,1097.97536
530.028,-1.04817,1097.90366
530.013,-1.08169,1097.83662
529.999,-1.11284,1097.77432
529.984,-1.14159,1097.71682
529.97,-1.16794,1097.66412
529.955,-1.19187,1097.61626
529.941,-1.21342,1097.57316
529.927,-1.23258,1097.53484
529.912,-1.24941,1097.50118
529.898,-1.26394,1097.47212
529.883,-1.27622,1097.44756
529.869,-1.28631,1097.42738
529.854,-1.2943,1097.4114
529.84,-1.30025,1097.3995
529.825,-1.30426,1097.39148
529.811,-1.30642,1097.38716
529.797,-1.30683,1097.38634
529.782,-1.3056,1097.3888
529.768,-1.30283,1097.39434
529.753,-1.29866,1097.40268
529.739,-1.29318,1097.41364
529.724,-1.28654,1097.42692
529.71,-1.27884,1097.44232
529.695,-1.27022,1097.45956
529.681,-1.2608,1097.4784
529.667,-1.25069,1097.49862
529.652,-1.24003,1097.51994
529.638,-1.22893,1097.54214
529.623,-1.2175,1097.565
529.609,-1.20587,1097.58826
529.594,-1.19412,1097.61176
529.58,-1.18237,1097.63526
529.565,-1.17072,1097.65856
529.551,-1.15924,1097.68152
529.537,-1.14802,1097.70396
529.522,-1.13713,1097.72574
529.508,-1.12664,1097.74672
529.493,-1.11661,1097.76678
529.479,-1.10708,1097.78584
529.464,-1.09808,1097.80384
529.45,-1.08966,1097.82068
529.435,-1.08182,1097.83636
529.421,-1.07458,1097.85084
529.407,-1.06794,1097.86412
529.392,-1.06189,1097.87622
529.378,-1.05641,1097.88718
529.363,-1.05147,1097.89706
529.349,-1.04704,1097.90592
529.334,-1.04306,1097.91388
529.32,-1.03949,1097.92102
529.305,-1.03626,1097.92748
529.291,-1.03331,1097.93338
529.277,-1.03055,1097.9389
529.262,-1.02792,1097.94416
529.248,-1.0253,1097.9494
529.233,-1.02263,1097.95474
529.219,-1.01978,1097.96044
529.204,-1.01668,1097.96664
529.19,-1.01321,1097.97358
529.175,-1.00927,1097.98146
529.161,-1.00474,1097.99052
529.147,-0.999529,1098.000942
529.132,-0.993521,1098.012958
529.118,-0.986609,1098.026782
529.103,-0.978691,1098.042618
529.089,-0.969662,1098.060676
529.074,-0.959425,1098.08115
529.06,-0.947883,1098.104234
529.045,-0.934947,1098.130106
529.031,-0.920532,1098.158936
529.017,-0.904557,1098.190886
529.002,-0.886953,1098.226094
528.988,-0.86765,1098.2647
528.973,-0.846593,1098.306814
528.959,-0.823732,1098.352536
528.944,-0.799024,1098.401952
528.93,-0.772439,1098.455122
528.915,-0.74395,1098.5121
528.901,-0.713544,1098.572912
528.887,-0.681217,1098.637566
528.872,-0.646971,1098.706058
528.858,-0.610824,1098.778352
528.843,-0.572796,1098.854408
528.829,-0.532922,1098.934156
528.814,-0.491244,1099.017512
528.8,-0.447814,1099.104372
528.786,-0.402691,1099.194618
528.771,-0.355946,1099.288108
528.757,-0.307655,1099.38469
528.742,-0.257904,1099.484192
528.728,-0.206784,1099.586432
528.713,-0.154395,1099.69121
528.699,-0.100843,1099.798314
528.684,-0.0462379,1099.907524
528.67,0.00930391,1100.018608
528.656,0.0656598,1100.13132
528.641,0.122705,1100.24541
528.627,0.180316,1100.360632
528.612,0.238359,1100.476718
528.598,0.296704,1100.593408
528.583,0.355218,1100.710436
528.569,0.413766,1100.827532
528.554,0.472218,1100.944436
528.54,0.530439,1101.060878
528.526,0.588304,1101.176608
528.511,0.64568,1101.29136
528.497,0.702447,1101.404894
528.482,0.758481,1101.516962
528.468,0.813668,1101.627336
528.453,0.867895,1101.73579
528.439,0.921055,1101.84211
528.424,0.973048,1101.946096
528.41,1.02378,1102.04756
528.396,1.07316,1102.14632
528.381,1.12111,1102.24222
528.367,1.16756,1102.33512
528.352,1.21243,1102.42486
