ppm,intensity,intensity_shifted
536.495,-3.16275,1995.57215
536.48,-3.16468,1995.569448
536.466,-3.16537,1995.568482
536.451,-3.16481,1995.569266
536.437,-3.16296,1995.571856
536.422,-3.15982,1995.576252
536.408,-3.15537,1995.582482
536.394,-3.14958,1995.590588
536.379,-3.14245,1995.60057
536.365,-3.13396,1995.612456
536.35,-3.12412,1995.626232
536.336,-3.11291,1995.641926
536.321,-3.10035,1995.65951
536.307,-3.08643,1995.678998
536.292,-3.07118,1995.700348
536.278,-3.05461,1995.723546
536.264,-3.03673,1995.748578
536.249,-3.01759,1995.775374
536.235,-2.99721,1995.803906
536.22,-2.97564,1995.834104
536.206,-2.95292,1995.865912
536.191,-2.9291,1995.89926
536.177,-2.90424,1995.934064
536.162,-2.87842,1995.970212
536.148,-2.85169,1996.007634
536.134,-2.82414,1996.046204
536.119,-2.79586,1996.085796
536.105,-2.76693,1996.126298
536.09,-2.73744,1996.167584
536.076,-2.70751,1996.209486
536.061,-2.67724,1996.251864
536.047,-2.64673,1996.294578
536.033,-2.6161,1996.33746
536.018,-2.58548,1996.380328
536.004,-2.55499,1996.423014
535.989,-2.52475,1996.46535
535.975,-2.4949,1996.50714
535.96,-2.46556,1996.548216
535.946,-2.43686,1996.588396
535.931,-2.40895,1996.62747
535.917,-2.38195,1996.66527
535.903,-2.35599,1996.701614
535.888,-2.33122,1996.736292
535.874,-2.30775,1996.76915
535.859,-2.28572,1996.799992
535.845,-2.26525,1996.82865
535.83,-2.24646,1996.854956
535.816,-2.22947,1996.878742
535.801,-2.21439,1996.899854
535.787,-2.20132,1996.918152
535.773,-2.19036,1996.933496
535.758,-2.18161,1996.945746
535.744,-2.17514,1996.954804
535.729,-2.17104,1996.960544
535.715,-2.16936,1996.962896
535.7,-2.17018,1996.961748
535.686,-2.17354,1996.957044
535.671,-2.17947,1996.948742
535.657,-2.18801,1996.936786
535.643,-2.19918,1996.921148
535.628,-2.21298,1996.901828
535.614,-2.22941,1996.878826
535.599,-2.24845,1996.85217
535.585,-2.27009,1996.821874
535.57,-2.29429,1996.787994
535.556,-2.32101,1996.750586
535.541,-2.35018,1996.709748
535.527,-2.38174,1996.665564
535.513,-2.41561,1996.618146
535.498,-2.45172,1996.567592
535.484,-2.48995,1996.51407
535.469,-2.53022,1996.457692
535.455,-2.5724,1996.39864
535.44,-2.61638,1996.337068
535.426,-2.66203,1996.273158
535.411,-2.70921,1996.207106
535.397,-2.75778,1996.139108
535.383,-2.80761,1996.069346
535.368,-2.85854,1995.998044
535.354,-2.91041,1995.925426
535.339,-2.96307,1995.851702
535.325,-3.01637,1995.777082
535.31,-3.07014,1995.701804
535.296,-3.12422,1995.626092
535.281,-3.17846,1995.550156
535.267,-3.23269,1995.474234
535.253,-3.28677,1995.398522
535.238,-3.34053,1995.323258
535.224,-3.39383,1995.248638
535.209,-3.44652,1995.174872
535.195,-3.49847,1995.102142
535.18,-3.54954,1995.030644
535.166,-3.5996,1994.96056
535.151,-3.64854,1994.892044
535.137,-3.69624,1994.825264
535.123,-3.7426,1994.76036
535.108,-3.78753,1994.697458
535.094,-3.83094,1994.636684
535.079,-3.87275,1994.57815
535.065,-3.9129,1994.52194
535.05,-3.95134,1994.468124
535.036,-3.98802,1994.416772
535.021,-4.02291,1994.367926
535.007,-4.05599,1994.321614
534.993,-4.08724,1994.277864
534.978,-4.11666,1994.236676
534.964,-4.14426,1994.198036
534.949,-4.17007,1994.161902
534.935,-4.19411,1994.128246
534.92,-4.21642,1994.097012
534.906,-4.23705,1994.06813
534.891,-4.25607,1994.041502
534.877,-4.27352,1994.017072
534.863,-4.2895,1993.9947
534.848,-4.30409,1993.974274
534.834,-4.31736,1993.955696
534.819,-4.32943,1993.938798
534.805,-4.34039,1993.923454
534.79,-4.35034,1993.909524
534.776,-4.35939,1993.896854
534.761,-4.36766,1993.885276
534.747,-4.37527,1993.874622
534.733,-4.38233,1993.864738
534.718,-4.38895,1993.85547
534.704,-4.39526,1993.846636
534.689,-4.40137,1993.838082
534.675,-4.4074,1993.82964
534.66,-4.41346,1993.821156
534.646,-4.41965,1993.81249
534.631,-4.4261,1993.80346
534.617,-4.4329,1993.79394
534.603,-4.44014,1993.783804
534.588,-4.44792,1993.772912
534.574,-4.45631,1993.761166
534.559,-4.46541,1993.748426
534.545,-4.47527,1993.734622
534.53,-4.48597,1993.719642
534.516,-4.49755,1993.70343
534.501,-4.51005,1993.68593
534.487,-4.52353,1993.667058
534.473,-4.538,1993.6468
534.458,-4.55348,1993.625128
534.444,-4.56998,1993.602028
534.429,-4.58751,1993.577486
534.415,-4.60605,1993.55153
534.4,-4.62558,1993.524188
534.386,-4.64608,1993.495488
534.372,-4.66751,1993.465486
534.357,-4.68983,1993.434238
534.343,-4.71298,1993.401828
534.328,-4.73691,1993.368326
534.314,-4.76154,1993.333844
534.299,-4.78681,1993.298466
534.285,-4.81262,1993.262332
534.27,-4.83891,1993.225526
534.256,-4.86557,1993.188202
534.242,-4.8925,1993.1505
534.227,-4.91962,1993.112532
534.213,-4.94681,1993.074466
534.198,-4.97398,1993.036428
534.184,-5.001,1992.9986
534.169,-5.02779,1992.961094
534.155,-5.05422,1992.924092
534.14,-5.0802,1992.88772
534.126,-5.10561,1992.852146
534.112,-5.13035,1992.81751
534.097,-5.15432,1992.783952
534.083,-5.17742,1992.751612
534.068,-5.19955,1992.72063
534.054,-5.22062,1992.691132
534.039,-5.24055,1992.66323
534.025,-5.25926,1992.637036
534.01,-5.27667,1992.612662
533.996,-5.29272,1992.590192
533.982,-5.30734,1992.569724
533.967,-5.32048,1992.551328
533.953,-5.33209,1992.535074
533.938,-5.34214,1992.521004
533.924,-5.35059,1992.509174
533.909,-5.35742,1992.499612
533.895,-5.36262,1992.492332
533.88,-5.36618,1992.487348
533.866,-5.36809,1992.484674
533.852,-5.36838,1992.484268
533.837,-5.36706,1992.486116
533.823,-5.36414,1992.490204
533.808,-5.35967,1992.496462
533.794,-5.35368,1992.504848
533.779,-5.34622,1992.515292
533.765,-5.33734,1992.527724
533.75,-5.32709,1992.542074
533.736,-5.31554,1992.558244
533.722,-5.30276,1992.576136
533.707,-5.28881,1992.595666
533.693,-5.27378,1992.616708
533.678,-5.25774,1992.639164
533.664,-5.24077,1992.662922
533.649,-5.22295,1992.68787
533.635,-5.20437,1992.713882
533.62,-5.18511,1992.740846
533.606,-5.16526,1992.768636
533.592,-5.1449,1992.79714
533.577,-5.1241,1992.82626
533.563,-5.10295,1992.85587
533.548,-5.08153,1992.885858
533.534,-5.05991,1992.916126
533.519,-5.03816,1992.946576
533.505,-5.01634,1992.977124
533.49,-4.99452,1993.007672
533.476,-4.97275,1993.03815
533.462,-4.95109,1993.068474
533.447,-4.92957,1993.098602
533.433,-4.90824,1993.128464
533.418,-4.88712,1993.158032
533.404,-4.86625,1993.18725
533.389,-4.84564,1993.216104
533.375,-4.8253,1993.24458
533.36,-4.80523,1993.272678
533.346,-4.78545,1993.30037
533.332,-4.76592,1993.327712
533.317,-4.74665,1993.35469
533.303,-4.72761,1993.381346
533.288,-4.70876,1993.407736
533.274,-4.69008,1993.433888
533.259,-4.67153,1993.459858
533.245,-4.65306,1993.485716
533.23,-4.63461,1993.511546
533.216,-4.61615,1993.53739
533.202,-4.5976,1993.56336
533.187,-4.5789,1993.58954
533.173,-4.56,1993.616
533.158,-4.54083,1993.642838
533.144,-4.52131,1993.670166
533.129,-4.50139,1993.698054
533.115,-4.48098,1993.726628
533.1,-4.46003,1993.755958
533.086,-4.43847,1993.786142
533.072,-4.41622,1993.817292
533.057,-4.39323,1993.849478
533.043,-4.36944,1993.882784
533.028,-4.34479,1993.917294
533.014,-4.31923,1993.953078
532.999,-4.29271,1993.990206
532.985,-4.26519,1994.028734
532.97,-4.23664,1994.068704
532.956,-4.20701,1994.110186
532.942,-4.17631,1994.153166
532.927,-4.1445,1994.1977
532.913,-4.11157,1994.243802
532.898,-4.07754,1994.291444
532.884,-4.0424,1994.34064
532.869,-4.00617,1994.391362
532.855,-3.96888,1994.443568
532.84,-3.93055,1994.49723
532.826,-3.89124,1994.552264
532.812,-3.85099,1994.608614
532.797,-3.80985,1994.66621
532.783,-3.7679,1994.72494
532.768,-3.7252,1994.78472
532.754,-3.68184,1994.845424
532.739,-3.63789,1994.906954
532.725,-3.59347,1994.969142
532.711,-3.54867,1995.031862
532.696,-3.50359,1995.094974
532.682,-3.45835,1995.15831
532.667,-3.41305,1995.22173
532.653,-3.36783,1995.285038
532.638,-3.3228,1995.34808
532.624,-3.27809,1995.410674
532.609,-3.23381,1995.472666
532.595,-3.19011,1995.533846
532.581,-3.14711,1995.594046
532.566,-3.10493,1995.653098
532.552,-3.06369,1995.710834
532.537,-3.02353,1995.767058
532.523,-2.98456,1995.821616
532.508,-2.94689,1995.874354
532.494,-2.91063,1995.925118
532.479,-2.87589,1995.973754
532.465,-2.84277,1996.020122
532.451,-2.81136,1996.064096
532.436,-2.78174,1996.105564
532.422,-2.75399,1996.144414
532.407,-2.72817,1996.180562
532.393,-2.70434,1996.213924
532.378,-2.68254,1996.244444
532.364,-2.66282,1996.272052
532.349,-2.6452,1996.29672
532.335,-2.62969,1996.318434
532.321,-2.61629,1996.337194
532.306,-2.60501,1996.352986
532.292,-2.59581,1996.365866
532.277,-2.58866,1996.375876
532.263,-2.58354,1996.383044
532.248,-2.58037,1996.387482
532.234,-2.57909,1996.389274
532.219,-2.57963,1996.388518
532.205,-2.5819,1996.38534
532.191,-2.58579,1996.379894
532.176,-2.59122,1996.372292
532.162,-2.59805,1996.36273
532.147,-2.60616,1996.351376
532.133,-2.61542,1996.338412
532.118,-2.62569,1996.324034
532.104,-2.63682,1996.308452
532.089,-2.64866,1996.291876
532.075,-2.66106,1996.274516
532.061,-2.67384,1996.256624
532.046,-2.68685,1996.23841
532.032,-2.69991,1996.220126
532.017,-2.71288,1996.201968
532.003,-2.72557,1996.184202
531.988,-2.73782,1996.167052
531.974,-2.74946,1996.150756
531.959,-2.76035,1996.13551
531.945,-2.77031,1996.121566
531.931,-2.7792,1996.10912
531.916,-2.78688,1996.098368
531.902,-2.7932,1996.08952
531.887,-2.79804,1996.082744
531.873,-2.80128,1996.078208
531.858,-2.80279,1996.076094
531.844,-2.80249,1996.076514
531.829,-2.80029,1996.079594
531.815,-2.7961,1996.08546
531.801,-2.78987,1996.094182
531.786,-2.78153,1996.105858
531.772,-2.77106,1996.120516
531.757,-2.75842,1996.138212
531.743,-2.74361,1996.158946
531.728,-2.72664,1996.182704
531.714,-2.70752,1996.209472
531.699,-2.68628,1996.239208
531.685,-2.66298,1996.271828
531.671,-2.63769,1996.307234
531.656,-2.61046,1996.345356
531.642,-2.58141,1996.386026
531.627,-2.55064,1996.429104
531.613,-2.51826,1996.474436
531.598,-2.48441,1996.521826
531.584,-2.44923,1996.571078
531.569,-2.41288,1996.621968
531.555,-2.37553,1996.674258
531.541,-2.33735,1996.72771
531.526,-2.29853,1996.782058
531.512,-2.25926,1996.837036
531.497,-2.21975,1996.89235
531.483,-2.1802,1996.94772
531.468,-2.14081,1997.002866
531.454,-2.10182,1997.057452
531.439,-2.06343,1997.111198
531.425,-2.02587,1997.163782
531.411,-1.98936,1997.214896
531.396,-1.95411,1997.264246
531.382,-1.92033,1997.311538
531.367,-1.88825,1997.35645
531.353,-1.85807,1997.398702
531.338,-1.83,1997.438
531.324,-1.80421,1997.474106
531.309,-1.78091,1997.506726
531.295,-1.76027,1997.535622
531.281,-1.74245,1997.56057
531.266,-1.7276,1997.58136
531.252,-1.71588,1997.597768
531.237,-1.70739,1997.609654
531.223,-1.70227,1997.616822
531.208,-1.7006,1997.61916
531.194,-1.70247,1997.616542
