ppm,Intensity
-137.71,202462.5
-137.704,242372.5
-137.698,279028.5
-137.692,311995
-137.686,340945
-137.68,365658
-137.674,386029.5
-137.668,402057
-137.662,413841.5
-137.656,421568.5
-137.65,425500.5
-137.643,425958
-137.637,423304
-137.631,417927.5
-137.625,410227.5
-137.619,400595.5
-137.613,389405.5
-137.607,376998
-137.601,363677
-137.595,349698.5
-137.589,335272
-137.583,320553
-137.577,305653.5
-137.571,290637
-137.565,275531.5
-137.559,260331
-137.553,245006
-137.547,229510.5
-137.541,213791.5
-137.535,197794
-137.529,181470
-137.523,164783.5
-137.517,147715
-137.511,130265
-137.505,112456.5
-137.499,94335
-137.493,75968.5
-137.486,57448.5
-137.48,38883.8
-137.474,20402.35
-137.468,2147.46
-137.462,-15725.6
-137.456,-33051.75
-137.45,-49658.7
-137.444,-65367
-137.438,-79996
-137.432,-93361.5
-137.426,-105280.5
-137.42,-115570
-137.414,-124050.5
-137.408,-130547.5
-137.402,-134892
-137.396,-136925.5
-137.39,-136500.5
-137.384,-133486
-137.378,-127769.5
-137.372,-119264
-137.366,-107909
-137.36,-93679.5
-137.354,-76587
-137.348,-56685
-137.342,-34074.7
-137.335,-8904.8
-137.329,18624
-137.323,48262.2
-137.317,79707.5
-137.311,112611.5
-137.305,146580
-137.299,181184
-137.293,215962
-137.287,250432
-137.281,284098.5
-137.275,316467
-137.269,347049.5
-137.263,375381.5
-137.257,401030
-137.251,423604
-137.245,442764
-137.239,458231.5
-137.233,469794
-137.227,477309.5
-137.221,480710.5
-137.215,480005
-137.209,475273
-137.203,466666
-137.197,454399.5
-137.191,438748
-137.185,420036.5
-137.178,398632.5
-137.172,374932
-137.166,349355
-137.16,322330
-137.154,294287
-137.148,265644.5
-137.142,236802.5
-137.136,208133.5
-137.13,179972.5
-137.124,152614.5
-137.118,126306
-137.112,101242.5
-137.106,77565.5
-137.1,55360
-137.094,34654.8
-137.088,15424.3
-137.082,-2411.62
-137.076,-18984.4
-137.07,-34470.2
-137.064,-49087.4
-137.058,-63091
-137.052,-76762
-137.046,-90406
-137.04,-104339.5
-137.034,-118883
-137.028,-134352
-137.021,-151047.5
-137.015,-169245.5
-137.009,-189188.5
-137.003,-211074.5
-136.997,-235052
-136.991,-261210.5
-136.985,-289573.5
-136.979,-320098
-136.973,-352668.5
-136.967,-387098
-136.961,-423131
-136.955,-460446.5
-136.949,-498665.5
-136.943,-537360
-136.937,-576065
-136.931,-614290
-136.925,-651535
-136.919,-687305
-136.913,-721115
-136.907,-752535
-136.901,-781165
-136.895,-806685
-136.889,-828835
-136.883,-847440
-136.877,-862415
-136.87,-873760
-136.864,-881555
-136.858,-885980
-136.852,-887255
-136.846,-885695
-136.84,-881625
-136.834,-875430
-136.828,-867475
-136.822,-858140
-136.816,-847770
-136.81,-836665
-136.804,-825080
-136.798,-813190
-136.792,-801105
-136.786,-788855
-136.78,-776400
-136.774,-763625
-136.768,-750355
-136.762,-736375
-136.756,-721450
-136.75,-705325
-136.744,-687780
-136.738,-668620
-136.732,-647720
-136.726,-625030
-136.72,-600605
-136.713,-574605
-136.707,-547305
-136.701,-519115
-136.695,-490538.5
-136.689,-462199
-136.683,-434799
-136.677,-409104.5
-136.671,-385917.5
-136.665,-366042
-136.659,-350249
-136.653,-339241
-136.647,-333618.5
-136.641,-333843
-136.635,-340210
-136.629,-352824
-136.623,-371583
-136.617,-396164.5
-136.611,-426029.5
-136.605,-460427
-136.599,-498413.5
-136.593,-538880
-136.587,-580575
-136.581,-622170
-136.575,-662275
-136.569,-699520
-136.562,-732570
-136.556,-760210
-136.55,-781385
-136.544,-795225
-136.538,-801105
-136.532,-798665
-136.526,-787835
-136.52,-768830
-136.514,-742165
-136.508,-708630
-136.502,-669275
-136.496,-625375
-136.49,-578375
-136.484,-529855
-136.478,-481467
-136.472,-434878
-136.466,-391715.5
-136.46,-353506
-136.454,-321623.5
-136.448,-297242.5
-136.442,-281298
-136.436,-274454
-136.43,-277088.5
-136.424,-289277.5
-136.418,-310803
-136.412,-341165.5
-136.405,-379603.5
-136.399,-425130
-136.393,-476570.5
-136.387,-532610
-136.381,-591835
-136.375,-652800
-136.369,-714060
-136.363,-774230
-136.357,-832030
-136.351,-886300
-136.345,-936065
-136.339,-980535
-136.333,-1019125
-136.327,-1051450
-136.321,-1077345
-136.315,-1096820
-136.309,-1110080
-136.303,-1117465
-136.297,-1119450
-136.291,-1116590
-136.285,-1109510
-136.279,-1098870
-136.273,-1085315
-136.267,-1069480
-136.261,-1051945
-136.254,-1033230
-136.248,-1013775
-136.242,-993950
-136.236,-974035
-136.23,-954240
-136.224,-934705
-136.218,-915510
-136.212,-896695
-136.206,-878275
-136.2,-860245
-136.194,-842610
-136.188,-825380
-136.182,-808585
-136.176,-792280
-136.17,-776555
-136.164,-761520
-136.158,-747310
-136.152,-734060
-136.146,-721920
-136.14,-711020
-136.134,-701480
-136.128,-693370
-136.122,-686720
-136.116,-681500
-136.11,-677625
-136.104,-674945
-136.097,-673240
-136.091,-672235
-136.085,-671610
-136.079,-671010
-136.073,-670050
-136.067,-668355
-136.061,-665550
-136.055,-661315
-136.049,-655360
-136.043,-647480
-136.037,-637550
-136.031,-625535
-136.025,-611495
-136.019,-595600
-136.013,-578100
-136.007,-559340
-136.001,-539730
-135.995,-519730
-135.989,-499847.5
-135.983,-480585.5
-135.977,-462438.5
-135.971,-445862.5
-135.965,-431253.5
-135.959,-418927
-135.953,-409103
-135.947,-401893
-135.94,-397294
-135.934,-395185
-135.928,-395334.5
-135.922,-397406.5
-135.916,-400977.5
-135.91,-405552
-135.904,-410587
-135.898,-415514.5
-135.892,-419766.5
-135.886,-422800
-135.88,-424121
-135.874,-423304.5
-135.868,-420012.5
-135.862,-414008
-135.856,-405159.5
-135.85,-393450.5
-135.844,-378971
-135.838,-361915
-135.832,-342566.5
-135.826,-321283.5
-135.82,-298485
-135.814,-274624
-135.808,-250173
-135.802,-225599
-135.796,-201350.5
-135.789,-177836
-135.783,-155415
-135.777,-134388
-135.771,-114993.5
-135.765,-97406
-135.759,-81741
-135.753,-68065
-135.747,-56404
-135.741,-46758.8
-135.735,-39120.6
-135.729,-33484.4
-135.723,-29865.7
-135.717,-28311.5
-135.711,-28911.15
-135.705,-31802.75
-135.699,-37173.85
-135.693,-45261.25
-135.687,-56343
-135.681,-70725.5
-135.675,-88733
-135.669,-110683
-135.663,-136871
-135.657,-167546
-135.651,-202889
-135.645,-242993.5
-135.639,-287847.5
-135.632,-337319.5
-135.626,-391147
-135.62,-448934.5
-135.614,-510155
-135.608,-574160
-135.602,-640180
-135.596,-707360
-135.59,-774780
-135.584,-841475
-135.578,-906470
-135.572,-968810
-135.566,-1027590
-135.56,-1081990
-135.554,-1131300
-135.548,-1174935
-135.542,-1212460
-135.536,-1243605
-135.53,-1268255
-135.524,-1286455
-135.518,-1298410
-135.512,-1304455
-135.506,-1305040
-135.5,-1300705
-135.494,-1292050
-135.488,-1279710
-135.481,-1264310
-135.475,-1246455
-135.469,-1226695
-135.463,-1205500
-135.457,-1183235
-135.451,-1160170
-135.445,-1136460
-135.439,-1112140
-135.433,-1087150
-135.427,-1061345
-135.421,-1034500
-135.415,-1006350
-135.409,-976605
-135.403,-944990
-135.397,-911265
-135.391,-875235
-135.385,-836810
-135.379,-795995
-135.373,-752915
-135.367,-707820
-135.361,-661090
-135.355,-613225
-135.349,-564845
-135.343,-516655
-135.337,-469444.5
-135.331,-424040.5
-135.324,-381293.5
-135.318,-342040
-135.312,-307076
-135.306,-277124
-135.3,-252808
-135.294,-234633
-135.288,-222963
-135.282,-218010.5
-135.276,-219831.5
-135.27,-228322
-135.264,-243223
-135.258,-264135
-135.252,-290527.5
-135.246,-321764
-135.24,-357119.5
-135.234,-395806.5
-135.228,-436998
-135.222,-479852.5
-135.216,-523535
-135.21,-567235
-135.204,-610185
-135.198,-651680
-135.192,-691070
-135.186,-727775
-135.18,-761300
-135.173,-791210
-135.167,-817135
-135.161,-838770
-135.155,-855865
-135.149,-868220
-135.143,-875675
-135.137,-878110
-135.131,-875435
-135.125,-867605
-135.119,-854595
-135.113,-836435
-135.107,-813195
-135.101,-785000
-135.095,-752025
-135.089,-714535
-135.083,-672845
-135.077,-627375
-135.071,-578610
-135.065,-527130
-135.059,-473585.5
-135.053,-418698
-135.047,-363247
-135.041,-308051
-135.035,-253945
-135.029,-201759
-135.023,-152290.5
-135.016,-106277.5
-135.01,-64370
-135.004,-27109.35
-134.998,5101.05
-134.992,32008.8
-134.986,53527.5
-134.98,69741
-134.974,80906.5
-134.968,87443
-134.962,89918
-134.956,89023.5
-134.95,85548
-134.944,80343.5
-134.938,74285
-134.932,68232.5
-134.926,62989
-134.92,59260
-134.914,57621
-134.908,58482.5
-134.902,62068
-134.896,68395.5
-134.89,77272
-134.884,88293.5
-134.878,100858.5
-134.872,114187.5
-134.866,127354
-134.859,139321
-134.853,148984
-134.847,155219
-134.841,156931.5
-134.835,153106
-134.829,142850
-134.823,125441.5
-134.817,100358.5
-134.811,67309.5
-134.805,26252.45
-134.799,-22601.05
-134.793,-78788
-134.787,-141608
-134.781,-210146.5
