ppm,Intensity
-177.293,-727972
-177.287,-729876
-177.281,-731454
-177.275,-732778
-177.269,-733914
-177.263,-734932
-177.257,-735902
-177.251,-736890
-177.245,-737956
-177.239,-739162
-177.233,-740566
-177.227,-742216
-177.221,-744164
-177.215,-746450
-177.208,-749112
-177.202,-752180
-177.196,-755680
-177.19,-759634
-177.184,-764052
-177.178,-768942
-177.172,-774306
-177.166,-780138
-177.16,-786428
-177.154,-793156
-177.148,-800302
-177.142,-807838
-177.136,-815730
-177.13,-823942
-177.124,-832434
-177.118,-841158
-177.112,-850070
-177.106,-859120
-177.1,-868254
-177.094,-877418
-177.088,-886560
-177.082,-895626
-177.076,-904562
-177.07,-913316
-177.064,-921836
-177.058,-930074
-177.051,-937982
-177.045,-945520
-177.039,-952646
-177.033,-959326
-177.027,-965528
-177.021,-971228
-177.015,-976404
-177.009,-981040
-177.003,-985126
-176.997,-988656
-176.991,-991630
-176.985,-994056
-176.979,-995946
-176.973,-997316
-176.967,-998186
-176.961,-998588
-176.955,-998548
-176.949,-998108
-176.943,-997304
-176.937,-996182
-176.931,-994788
-176.925,-993170
-176.919,-991382
-176.913,-989476
-176.907,-987508
-176.9,-985528
-176.894,-983596
-176.888,-981762
-176.882,-980082
-176.876,-978606
-176.87,-977382
-176.864,-976456
-176.858,-975872
-176.852,-975670
-176.846,-975886
-176.84,-976548
-176.834,-977686
-176.828,-979318
-176.822,-981462
-176.816,-984130
-176.81,-987326
-176.804,-991048
-176.798,-995294
-176.792,-1000052
-176.786,-1005306
-176.78,-1011032
-176.774,-1017206
-176.768,-1023796
-176.762,-1030766
-176.756,-1038078
-176.75,-1045688
-176.743,-1053548
-176.737,-1061608
-176.731,-1069820
-176.725,-1078128
-176.719,-1086476
-176.713,-1094810
-176.707,-1103074
-176.701,-1111210
-176.695,-1119166
-176.689,-1126886
-176.683,-1134318
-176.677,-1141414
-176.671,-1148124
-176.665,-1154408
-176.659,-1160220
-176.653,-1165528
-176.647,-1170298
-176.641,-1174502
-176.635,-1178116
-176.629,-1181122
-176.623,-1183506
-176.617,-1185260
-176.611,-1186378
-176.605,-1186864
-176.599,-1186724
-176.592,-1185968
-176.586,-1184614
-176.58,-1182680
-176.574,-1180194
-176.568,-1177182
-176.562,-1173676
-176.556,-1169714
-176.55,-1165334
-176.544,-1160576
-176.538,-1155482
-176.532,-1150100
-176.526,-1144474
-176.52,-1138650
-176.514,-1132676
-176.508,-1126600
-176.502,-1120468
-176.496,-1114324
-176.49,-1108212
-176.484,-1102174
-176.478,-1096252
-176.472,-1090480
-176.466,-1084896
-176.46,-1079528
-176.454,-1074408
-176.448,-1069556
-176.442,-1064996
-176.435,-1060746
-176.429,-1056816
-176.423,-1053216
-176.417,-1049954
-176.411,-1047028
-176.405,-1044438
-176.399,-1042176
-176.393,-1040234
-176.387,-1038600
-176.381,-1037256
-176.375,-1036184
-176.369,-1035364
-176.363,-1034770
-176.357,-1034380
-176.351,-1034164
-176.345,-1034094
-176.339,-1034142
-176.333,-1034278
-176.327,-1034472
-176.321,-1034694
-176.315,-1034916
-176.309,-1035106
-176.303,-1035240
-176.297,-1035290
-176.291,-1035234
-176.285,-1035046
-176.278,-1034708
-176.272,-1034202
-176.266,-1033514
-176.26,-1032626
-176.254,-1031534
-176.248,-1030226
-176.242,-1028700
-176.236,-1026954
-176.23,-1024988
-176.224,-1022806
-176.218,-1020414
-176.212,-1017822
-176.206,-1015038
-176.2,-1012078
-176.194,-1008958
-176.188,-1005690
-176.182,-1002298
-176.176,-998798
-176.17,-995210
-176.164,-991558
-176.158,-987864
-176.152,-984146
-176.146,-980430
-176.14,-976736
-176.134,-973086
-176.127,-969500
-176.121,-965996
-176.115,-962594
-176.109,-959310
