ppm,Intensity
130.004397,-40548.935
129.998285,-53642.181
129.992173,-66735.443
129.986061,-79828.69
129.979949,-92921.951
129.973838,-45632.202
129.967726,1657.562
129.961614,19371.964
129.955502,37086.365
129.94939,1657.562
129.943278,-33771.24
129.937167,-39624.695
129.931055,-45478.149
129.924943,-8817.047
129.918831,27844.086
129.912719,-43937.775
129.906607,-115719.62
129.900496,-93692.139
129.894384,-71664.673
129.888272,-49637.192
129.88216,-27609.711
129.876048,-1885.315
129.869936,23839.081
129.863825,271.21
129.857713,-23296.646
129.851601,-31345.139
129.845489,-39393.646
129.839377,-47442.139
129.833265,-55490.646
129.827153,-51216.08
129.821042,-46941.513
129.81493,-42666.962
129.808818,-38392.395
129.802706,-47365.128
129.796594,-56337.86
129.790482,-16018.326
129.784371,24301.178
129.778259,-5004.593
129.772147,-34310.379
129.766035,-69777.695
129.759923,-105245.01
129.753811,-33001.053
129.7477,-59341.599
129.741588,-104166.748
129.735476,-10973.572
129.729364,-39162.582
129.723252,-8200.882
129.71714,21528.503
129.711028,51257.904
129.704917,79909.027
129.698805,9975.632
129.692693,-37776.245
129.686581,-26377.411
129.680469,-37160.095
129.674357,-47942.764
129.668246,-48867.004
129.662134,-49791.229
129.656022,-105630.112
129.64991,-62884.491
129.643798,-59572.662
129.637686,2889.862
129.631575,-28302.887
129.625463,-59495.636
129.619351,-17982.315
129.613239,23531.006
129.607127,-1808.304
129.601015,-27147.598
129.594903,-58648.438
129.588792,-90149.261
129.58268,-28610.962
129.576568,-65657.181
129.570456,-13977.325
129.564344,-21448.181
129.558232,-22911.545
129.552121,-24374.908
129.546009,-29535.187
129.539897,-34695.48
129.533785,14365.723
129.527673,63426.91
129.521561,23762.054
129.51545,-15902.802
129.509338,-43244.598
129.503226,-70586.395
129.497114,-28919.037
129.491002,12748.322
129.48489,-34926.529
129.478778,-82601.379
129.472667,-9510.208
129.466555,-35003.555
129.460443,-2347.427
129.454331,-28842.026
129.448219,-83679.657
129.442107,-39932.785
129.435996,-41781.235
129.429884,-43629.7
129.423772,-35619.705
129.41766,-27609.711
129.411548,-23604.721
129.405436,39550.995
129.399325,71899.017
129.393213,5662.552
129.387101,29384.46
129.380989,-6044.357
129.374877,-47634.689
129.368765,-30074.326
129.362653,-65849.716
129.356542,-101625.122
129.35043,-84411.331
129.344318,-67197.556
129.338206,-74629.898
129.332094,-82062.256
129.325982,-93191.513
129.319871,-104320.786
129.313759,-46903.015
129.307647,-48635.941
129.301535,-31884.277
129.295423,83451.904
129.289311,108829.712
129.2832,-3810.791
129.277088,-95502.09
129.270976,-128042.694
129.264864,-116720.871
129.258752,-105399.048
129.25264,-82986.481
129.246529,-60573.914
129.240417,-118877.403
129.234305,-58879.486
129.228193,-65426.117
129.222081,-71972.748
129.215969,-59726.7
129.209857,-47480.652
129.203746,-101779.16
129.197634,-37776.245
129.191522,-13207.138
129.18541,11361.969
129.179298,13749.573
129.173186,16137.161
129.167075,-4542.48
129.160963,-25222.122
129.154851,3390.488
129.148739,32003.113
129.142627,11323.471
129.136515,-9356.171
129.130404,19256.439
129.124292,47869.049
129.11818,60615.723
129.112068,73362.396
129.105956,17099.899
129.099844,-39162.582
129.093732,-53526.657
129.087621,-67890.732
129.081509,-82254.807
129.075397,-96618.866
129.069285,-70509.384
129.063173,-44399.887
129.057061,55647.98
129.05095,37394.44
129.044838,-44939.026
129.038726,-8971.085
129.032614,-64193.802
129.026502,-1115.128
129.02039,11284.958
129.014279,23685.028
129.008167,13903.61
129.002055,4122.177
128.995943,1734.573
128.989831,-653.015
128.983719,-59726.7
128.977607,-118800.385
128.971496,-19830.78
128.965384,-39162.582
128.959272,-41242.096
128.95316,-43321.625
128.947048,-20138.855
128.940936,3043.9
128.934825,43478.973
128.928713,-34387.405
128.922601,-41088.058
128.916489,-47788.727
128.910377,-61883.24
128.904265,-75977.737
128.898154,-28456.924
128.892042,19063.889
128.88593,44403.198
128.879818,-48558.929
128.873706,-24066.833
128.867594,425.262
128.861482,24917.358
128.855371,49409.424
128.849259,-70894.47
128.843147,-72896.973
128.837035,-13284.149
128.830923,46328.674
128.824811,-22680.496
128.8187,-91689.651
128.812588,-52255.844
128.806476,-12822.037
128.800364,-34387.405
128.794252,-55952.759
128.78814,-77518.127
128.782029,-99083.481
128.775917,-20523.956
128.769805,58035.583
128.763693,8435.242
128.757581,-41165.085
128.751469,-48250.839
128.745358,-55336.609
128.739246,-128966.919
128.733134,-84295.807
128.727022,-62884.491
128.72091,-41473.16
128.714798,-5274.155
128.708686,30924.835
128.702575,49871.552
128.696463,187119.659
128.690351,109946.472
128.684239,32773.285
128.678127,24108.643
128.672015,15443.985
128.665904,-22796.021
128.659792,-61036.026
128.65368,-40125.32
128.647568,-19214.63
128.641456,1696.075
128.635344,22606.781
128.629233,15328.461
128.623121,8050.156
128.617009,771.835
128.610897,-6506.47
128.604785,28113.647
128.598673,62733.734
128.592561,28344.696
128.58645,-6044.357
128.580338,-19561.218
128.574226,-33078.079
128.568114,69241.852
128.562002,53260.376
128.55589,-2154.892
128.549779,-57570.16
128.543667,-51370.117
128.537555,-45170.074
128.531443,-4157.379
128.525331,36855.316
128.519219,28575.745
128.513108,20296.188
128.506996,-18791.016
128.500884,-57878.235
128.494772,-47673.203
128.48866,-37468.17
128.482548,-50253.342
128.476436,-63038.528
128.470325,-46248.352
128.464213,-29458.176
128.458101,7048.904
128.451989,43555.969
128.445877,50487.701
128.439765,57419.434
128.433654,52798.279
128.427542,48177.124
128.42143,73131.317
128.415318,98085.541
128.409206,28152.161
128.403094,-41781.235
128.396983,-62422.363
128.390871,-83063.507
128.384759,-48327.866
128.378647,-13592.224
128.372535,55647.98
128.366423,-52563.919
128.360311,-78211.288
128.3542,-44707.962
128.348088,-65426.117
128.341976,12440.247
128.335864,49948.578
128.329752,28306.183
128.32364,-22911.545
128.317529,-74129.272
128.311417,-19368.668
128.305305,35391.937
128.299193,21143.402
128.293081,6894.867
128.286969,-29150.101
128.280858,-65195.053
128.274746,-32230.865
128.268634,733.337
128.262522,20142.151
128.25641,39550.995
128.250298,29384.46
128.244186,19217.926
128.238075,28922.333
128.231963,38626.74
128.225851,18755.814
128.219739,-1115.128
128.213627,-37622.208
128.207515,-74129.272
128.201404,-41627.197
128.195292,-9125.122
128.18918,-15325.165
128.183068,-21525.208
128.176956,-27725.25
128.170844,-33925.278
128.164733,-19176.117
128.158621,-4426.956
128.152509,-13091.599
128.146397,-21756.256
128.140285,-62614.914
128.134173,-4889.069
128.128062,-6313.919
128.12195,-7738.77
128.115838,-9779.785
128.109726,-70971.497
128.103614,-85335.571
128.097502,-1115.128
128.09139,31386.963
128.085279,63889.038
128.079167,13826.584
128.073055,-36235.855
128.066943,-48712.967
128.060831,-61190.063
128.054719,-44091.812
128.048608,-26993.561
128.042496,-24682.983
128.036384,-22372.406
128.030272,63734.985
128.02416,11824.097
128.018048,-62884.491
128.011937,-39008.545
128.005825,25533.508
127.999713,-8508.972
127.993601,-12321.411
127.987489,-16133.865
127.981377,-5158.63
127.975265,5816.589
127.969154,112295.563
127.963042,80756.226
127.95693,97276.825
127.950818,113797.455
127.944706,104439.606
127.938594,95081.787
127.932483,8088.654
127.926371,59113.831
127.920259,50988.312
127.914147,42862.793
127.908035,43363.434
127.901923,43864.044
127.895812,-2771.042
127.8897,-49406.128
127.883588,-7315.17
127.877476,34775.787
127.871364,12170.67
127.865252,-10434.448
127.85914,-33039.566
127.853029,-55644.684
127.846917,-45593.689
127.840805,-35542.694
127.834693,-25491.684
127.828581,-15440.689
127.822469,-30035.812
127.816358,-44630.951
127.810246,-59226.074
127.804134,-73821.198
127.798022,-47596.176
127.79191,-21371.17
127.785798,4853.851
127.779687,31078.888
127.773575,-16018.326
127.767463,-63115.54
127.761351,-47365.128
127.755239,-31614.716
127.749127,21412.979
127.743015,-24143.86
127.736904,-41357.635
127.730792,579.3
