2Theta,Intensity
2.01,1840
2.03,1723
2.05,1722
2.07,1657
2.09,1681
2.11,1617
2.13,1538
2.15,1521
2.17,1575
2.19,1576
2.21,1538
2.23,1499
2.25,1498
2.27,1453
2.29,1351
2.31,1347
2.33,1305
2.35,1235
2.37,1293
2.39,1249
2.41,1206
2.43,1211
2.45,1185
2.47,1164
2.49,1119
2.51,1128
2.53,1098
2.55,1133
2.57,1038
2.59,1025
2.61,1018
2.63,1029
2.65,967
2.67,916
2.69,962
2.71,928
2.73,908
2.75,906
2.77,858
2.79,890
2.81,806
2.83,836
2.85,810
2.87,762
2.89,791
2.91,727
2.93,728
2.95,724
2.97,733
2.99,706
3.01,640
3.03,652
3.05,599
3.07,633
3.09,631
3.11,580
3.13,583
3.15,582
3.17,561
3.19,577
3.21,526
3.23,562
3.25,540
3.27,537
3.29,531
3.31,499
3.33,500
3.35,505
3.37,510
3.39,503
3.41,505
3.43,510
3.45,458
3.47,466
3.49,481
3.51,495
3.53,480
3.55,507
3.57,494
3.59,481
3.61,466
3.63,504
3.65,515
3.67,457
3.69,474
3.71,530
3.73,491
3.75,449
3.77,487
3.79,449
3.81,423
3.83,489
3.85,507
3.87,480
3.89,471
3.91,494
3.93,485
3.95,496
3.97,485
3.99,473
4.01,510
4.03,495
4.05,484
4.07,478
4.09,469
4.11,498
4.13,508
4.15,454
4.17,475
4.19,480
4.21,475
4.23,448
4.25,476
4.27,512
4.29,510
4.31,482
4.33,495
4.35,503
4.37,502
4.39,514
4.41,511
4.43,500
4.45,479
4.47,507
4.49,477
4.51,504
4.53,511
4.55,502
4.57,514
4.59,491
4.61,510
4.63,529
4.65,511
4.67,502
4.69,505
4.71,509
4.73,531
4.75,540
4.77,535
4.79,508
4.81,507
4.83,515
4.85,499
4.87,491
4.89,501
4.91,534
4.93,516
4.95,509
4.97,498
4.99,476
5.01,500
5.03,496
5.05,504
5.07,514
5.09,524
5.11,534
5.13,539
5.15,535
5.17,529
5.19,537
5.21,543
5.23,546
5.25,534
5.27,530
5.29,516
5.31,533
5.33,536
5.35,510
5.37,509
5.39,530
5.41,564
5.43,543
5.45,551
5.47,560
5.49,546
5.51,542
5.53,526
5.55,515
5.57,530
5.59,540
5.61,546
5.63,543
5.65,531
5.67,568
5.69,590
5.71,562
5.73,527
5.75,534
5.77,564
5.79,571
5.81,555
5.83,552
5.85,571
5.87,547
5.89,559
5.91,582
5.93,559
5.95,566
5.97,571
5.99,569
6.01,562
6.03,557
6.05,548
6.07,549
6.09,577
6.11,587
6.13,578
6.15,577
6.17,569
6.19,571
6.21,578
6.23,579
6.25,570
6.27,580
6.29,597
6.31,592
6.33,600
6.35,592
6.37,577
6.39,567
6.41,566
6.43,595
6.45,595
6.47,556
6.49,576
6.51,582
6.53,600
6.55,603
6.57,571
6.59,568
6.61,589
6.63,577
6.65,580
6.67,571
6.69,599
6.71,630
6.73,596
6.75,610
6.77,630
6.79,583
6.81,604
6.83,613
6.85,616
6.87,633
6.89,603
6.91,599
6.93,607
6.95,584
6.97,568
6.99,593
7.01,647
7.03,620
7.05,610
7.07,616
7.09,598
7.11,625
7.13,635
7.15,660
7.17,660
7.19,635
7.21,634
7.23,625
7.25,617
7.27,622
7.29,637
7.31,655
7.33,637
7.35,663
7.37,655
7.39,607
7.41,647
7.43,653
7.45,664
7.47,631
7.49,695
7.51,669
7.53,642
7.55,627
7.57,646
7.59,650
7.61,653
7.63,650
7.65,635
7.67,672
7.69,649
7.71,660
7.73,650
7.75,622
7.77,649
7.79,660
7.81,660
7.83,664
7.85,670
7.87,652
7.89,655
7.91,634
7.93,634
7.95,651
7.97,665
7.99,688
8.01,639
8.03,682
8.05,698
8.07,663
8.09,682
8.11,701
8.13,663
8.15,633
8.17,657
8.19,698
8.21,647
8.23,734
8.25,747
8.27,695
8.29,672
8.31,721
8.33,683
8.35,719
8.37,697
8.39,731
8.41,740
8.43,711
8.45,725
8.47,709
8.49,748
8.51,730
8.53,741
8.55,745
8.57,742
8.59,757
8.61,765
8.63,787
8.65,772
8.67,802
8.69,764
8.71,784
8.73,831
8.75,837
8.77,805
8.79,847
8.81,890
8.83,798
8.85,879
8.87,855
8.89,947
8.91,933
8.93,961
8.95,962
8.97,1053
8.99,1092
9.01,1138
9.03,1175
9.05,1261
9.07,1268
9.09,1285
9.11,1345
9.13,1457
9.15,1576
9.17,1733
9.19,1789
9.21,1800
9.23,2079
9.25,2326
9.27,2425
9.29,2580
9.31,2913
9.33,3201
9.35,3557
9.37,3780
9.39,4363
9.41,4794
9.43,5235
9.45,6012
9.47,6809
9.49,7381
9.51,8463
9.53,9290
9.55,9936
9.57,10563
9.59,10792
9.61,10110
9.63,8692
9.65,7137
9.67,5483
9.69,4205
9.71,3409
9.73,2899
9.75,2426
9.77,2180
9.79,1911
9.81,1745
9.83,1629
9.85,1541
9.87,1485
9.89,1497
9.91,1327
9.93,1243
9.95,1200
9.97,1197
9.99,1184
10.01,1126
10.03,1104
10.05,1072
10.07,1069
10.09,1075
10.11,976
10.13,1002
10.15,1016
10.17,944
10.19,1039
10.21,1038
10.23,985
10.25,946
10.27,998
10.29,955
10.31,949
10.33,911
10.35,880
10.37,887
10.39,883
10.41,919
10.43,826
10.45,889
10.47,890
