SMILES,AEI,CHA,color
C1CC23CCC[N+]2(C1)CCC3,-14.625158587942336,-13.939776500186698,0.9873928979971128
C1CCC2(C1)CCC[NH2+]2,-13.377238156412414,-13.353944678157207,1.5
C1CCCNCCC1,-11.778907983042686,-11.521063707101176,1.5
C1CCC[N+]2(CC1)CCCCC2,-11.332143823752071,-15.27862448567415,0.0
C1CCC[N+]2(CC1)CCCCCC2,-11.287467403802786,-13.925312413287187,0.6090766690053364
C1CC[C@@H]2CCC[N+]3(CCCC3)[C@H]2C1,-12.209380556547638,-11.224915135982917,0.3453392604528513
C1CC[C@@H]2NCC[C@@H]2C1,-12.431921485249676,-12.740704781678732,1.5
C1CC[C@@H]2[C@H](C1)CCC[N+]21CCCC1,-11.213594507172349,-11.397839576462376,1.5
C1CC[C@H]2[C@@H](C1)CCC[N+]21CCCC1,-11.406773466775475,-12.408196737733727,1.5
C1CC[N+]2(C1)CC1CCC(CC1)C2,-13.581876073947285,-16.969881254738656,-0.6704344517072869
C1CC[N+]2(C1)CCCC2,-12.476600900263994,-12.631594737456114,1.5
C1CC[N+]2(CC1)CCCC2,-13.892710353375303,-14.393158238873115,1.5
C1CC[N+]2(CC1)CCCCC2,-14.183682266185372,-15.041302368401823,0.0
C1C[C@H]2CC[C@@H]1CNC2,-12.742319590746677,-12.36160550638781,1.5
C1C[NH+]2CCC1CC2,-11.873158457776634,-12.118148155894588,1.5
C1N2CN3CN1CN(C2)C3,-11.742279041469553,-11.709636136107257,1.5
CC(C)(C)[N+](C)(C)C,-12.74376787554,-11.71908622956061,1.5
CC(C)CCNC(C)C,-12.977205835714484,-14.010602805965073,1.5
CC(C)CC[N+]1(C)CCCC1,-11.965448893622172,-15.545879885721893,-1.0447349720875039
CC(C)CNCC(C)C,-13.08984856247036,-13.90399277668089,1.3464060450120776
CC(C)C[N+]1(C)CCCC1,-12.629758213172753,-14.581748973287734,0.13151560582939048
CC(C)Cn1cc[n+](CC(C)C)c1,-12.238735711371154,-11.174035668376437,0.0
CC(C)N1C[C@@H]2C[C@H](C1)C[N+](C)(C)C2,-12.923062638392693,-11.020184069915995,1.5
CC(C)[C@@H]1CCCC[N+]1(C)C,-12.941101472743009,-13.235876669195195,0.0
CC(C)[C@H]1CCCC[N+]1(C)C,-13.723694191322597,-13.736116394324405,-0.012422203001809963
CC(C)[N+](C)(C)C(C)C,-13.831151535889626,-13.587620266923855,0.9317008164658168
CC(C)[N+]1(C)CCCC1,-13.732384724227865,-12.560858591845136,1.5
CC(C)[N+]1(C)C[C@@H](C)C[C@@H](C)C1,-13.48315412795742,-11.603370130577106,-0.0789690654655999
CC(C)[N+]1(C)C[C@@H](C)C[C@H](C)C1,-13.007016401228846,-12.923466891765035,0.0
CC(C)[N+]1(C)C[C@H](C)C[C@@H](C)C1,-12.09391153367686,-12.307885109060203,0.0
CC(C)[N@+]1(C)CCCC(C)(C)C1,-12.601017911024575,-15.922861415535516,0.0
CC(C)[N@+]1(C)C[C@@H](C)C[C@@H](C)C1,-13.91769520581684,-11.100115507341993,-0.2282993084217804
CC(C)[N@@+]1(C)CCCC(C)(C)C1,-11.666226240037195,-16.66941705625072,-0.6195579693730338
CC(C)[N@@+]1(C)C[C@@H](C)C[C@@H](C)C1,-13.738666260009337,-14.716253657829151,-0.9775873978198124
CC(C)[P+](C)(C(C)C)C(C)C,-17.103801003753016,-15.238178725713215,-1.5
CC(C)c1n(C)cc[n+]1C,-12.136211701206411,-13.004794739726329,0.0
CC1(C)CCCC(C)(C)[N+]12CCCCC2,-13.084178019951565,-13.134406466289988,1.0593847774999643
CC1(C)CCC[N+](C)(C)C1,-14.579335922440634,-13.526471116708775,0.3890609754311889
CC1(C)CCC[N+]2(CCCC2)C1,-13.025775820079849,-16.52145982614077,0.0
CC1(C)C[C@@H]2C[C@](C)(C1)C[N+]2(C)C,-15.900195513956707,-12.128124040716429,-1.5
CC1(C)C[C@H]2C[C@@](C)(C1)C[N+]2(C)C,-16.347188162535918,-12.701126558714831,-0.907055947971136
CC1(C)[C@@H]2CCC[N+](C)(C)[C@@H]1C2,-16.634387499495755,-12.955541907339425,-1.5
CC1(C)[C@@H]2CC[C@@](C)(C2)C[N+]1(C)C,-15.350562851721499,-14.194723161283946,-1.072935366220218
CC1(C)[C@@H]2CC[C@@]1(C)C[N+](C)(C)C2,-14.299165158820296,-17.109666205396508,-1.5
CC1(C)[C@@H]2CC[C@@]1(C)[C@@H]([N+](C)(C)C)C2,-11.593301653353928,-15.111949881529634,0.0
CC1(C)[C@@H]2C[C@H]1CCC[N+]2(C)C,-16.436414988590894,-16.195453552411067,-0.2409614361798269
CC1(C)[C@H]2CCC[N+](C)(C)[C@@H]1C2,-16.097340743681652,-13.446035570308895,-0.7926626153238576
CC1(C)[C@H]2CCC[N+](C)(C)[C@H]1C2,-15.864217647254579,-14.29354004480442,-1.5
CC1(C)[C@H]2CC[C@](C)(C2)C[N+]1(C)C,-13.9312170801051,-14.650568491702067,-0.2413885445122528
CC1(C)[C@H]2CC[C@]1(C)C[N+](C)(C)C2,-14.475202577409465,-17.133107848914896,-1.5
CC1(C)[C@H]2CC[C@]1(C)[C@H]([N+](C)(C)C)C2,-11.253775656154485,-14.983100817784926,-0.9540565507405976
CC12CC3C[C@@](C)(C1)C([NH3+])[C@](C)(C3)C2,-15.726108063601133,-13.467928168882544,-0.51673698879668
CC12CC3C[C@@](C)(C1)C[C@](N)(C3)C2,-17.687795604660682,-13.948804336375725,-1.5
CC1CCC[N@@+]12CCCC(C)(C)C2,-12.488547812579654,-15.723342861452188,-1.4271102702094822
CC1CC[N+](C)(C)CC1,-13.234425657351643,-13.433464820122865,0.1962094963706704
CCCCCC[N+](C)(C)C,-11.138955758347272,-14.565505697163776,0.9882280314197748
CCCCNC(C)C,-12.01891922647244,-12.496033511904605,1.5
CCCCNCCCC,-12.69841859111922,-13.787547382716921,0.0
CCCC[N+]1(C)CCCC1,-12.015322635818146,-14.336580053695558,1.2652094811708636
CCCC[N+]1(C)CCCCCC1,-12.74963098666837,-12.456544189438624,0.0
CCCC[n+]1ccccc1,-12.712773314593345,-13.892637446658512,1.5
CCCCn1cc[n+](C)c1C,-12.483360581088894,-13.447255600326526,1.5
CCCN(CCC)CCC,-13.573631624818988,-12.558883859047187,1.5
CCCNCC(C)C,-11.868480688854776,-12.864423319156867,1.5
CCCNCCC,-11.994681672903411,-12.357553525143745,1.5
CCC[N+](C)(C)CCC,-12.399827454027658,-11.944692188530615,1.5
CCC[N+](CCC)(CCC)CCC,-13.291325661259757,-11.832231852523535,0.6618098573926385
CCC[N+]1(C)CCCC1,-13.644498702343723,-12.851711137578704,1.5
CCC[N+]1(C)CCCCC1,-11.711978873280456,-12.792982589526801,1.5
CCC[N+]12CCC(CC1)CC2,-13.424529589735961,-14.106634828453481,0.0
CCC[NH+](CCC)CCC,-13.11273865840117,-12.556599354782314,1.5
CCC[NH2+]CCC,-11.823222784068527,-11.031468804848974,1.5
CCCn1cc[n+](CCC)c1,-13.076519417600572,-14.264681956866827,0.0
CCN(C(C)C)C(C)C,-13.434817396843126,-13.801984346522048,0.0
CCN(CC)CCN,-12.696837719421039,-11.40777217689945,1.5
CCN1CCNCC1,-11.487835544594128,-11.442481938435268,1.5
CCN1C[C@@H]2C[C@H](C1)C[N+]2(C)C,-13.304540450929206,-13.616873489031374,1.5
CCN1C[C@@H]2C[C@H](C1)[N+](C)(C)C2,-13.752700551729285,-14.110734784340705,0.8514283480315168
CCNCCN(C)C,-12.04105245540365,-11.38537343243966,1.5
CC[C@@H](N)CCCN,-13.170971225026925,-12.932641814457815,1.5
CC[C@@H]1CCCC[N+]1(C)C,-13.916344873720222,-13.594926295849845,1.5
CC[C@@H]1CCCC[N+]12CCCC2,-15.239105045048866,-14.104274744024513,0.0
CC[C@@H]1CCCC[N+]12CCCCC2,-12.414827644163804,-11.69212807149968,0.1185900414234311
CC[C@@H]1CCCC[N@+]1(C)CC,-15.513970121352065,-14.6401024614757,1.5
CC[C@@H]1CCCC[N@+]12CCC[C@@H]2C,-13.6666265843803,-13.464898529964454,0.0
CC[C@@H]1CCCC[N@+]12CCC[C@H]2C,-13.47099050560214,-12.987255558604385,0.0
CC[C@@H]1CCCC[N@@+]12CCC[C@@H]2C,-12.949933678253773,-11.767017427531991,0.0
CC[C@@H]1CCCC[N@@+]12CCC[C@H]2C,-14.564600986518693,-15.121345541183915,-0.44790125110797696
CC[C@H]1CCCC[N+]1(C)C,-14.461631535812344,-13.13738660288076,1.5
CC[C@H]1CCCC[N+]12CCCC2,-14.249534881238045,-11.331224881522946,0.0
CC[C@H]1CCCC[N+]12CCCCC2,-15.90228514468498,-15.060923059404663,-0.5347414309252532
CC[C@H]1CCCC[N@+]1(C)CC,-14.838680290429744,-12.607017166953804,1.5
CC[C@H]1CCCC[N@+]12CCC[C@@H]2C,-12.132143799885215,-15.328373038172765,-0.15589784378304827
CC[C@H]1CCCC[N@+]12CCC[C@H]2C,-13.712112194511967,-15.078354739803851,0.0
CC[C@H]1CCCC[N@@+]12CCC[C@@H]2C,-14.607198288618875,-12.44920441745358,0.0
CC[C@H]1CCCC[N@@+]12CCC[C@H]2C,-14.164791164979341,-12.522047668355649,-0.12952613707887828
CC[N+](C)(C(C)C)C(C)C,-15.306162801898813,-14.595800156638322,0.6559840572698921
CC[N+](C)(C)C1CCCCC1,-13.989104591119983,-15.701234859410865,0.0
CC[N+](C)(CC)C1CCCCC1,-12.297622327831853,-17.27583611093465,-1.5
CC[N+](C)(CC)CC,-12.849712913286432,-12.284260438257984,1.5
CC[N+](CC)(CC)C(C)C,-14.954245195583127,-13.598160671247875,0.4742202619857974
CC[N+](CC)(CC)CC,-14.655202607718904,-14.289698160335641,0.3051818145052092
CC[N+](CC)(CC)Cc1ccccc1,-11.037504483984947,-14.872812125024627,0.0
CC[N+]1(C)C(C)(C)CCCC1(C)C,-18.009299833350035,-14.059667920809677,-1.5
CC[N+]1(C)C2CCCC1CCC2,-15.795339493909745,-16.861601841879736,-0.3833449446216228
CC[N+]1(C)CCCCC1,-12.852945070862287,-13.214031026808572,1.5
CC[N+]1(C)CCNCC1,-13.933537893670428,-11.005533632349515,0.5390447415732478
CC[N+]1(C)C[C@@H](C)C[C@@H](C)C1,-13.559344059144967,-11.964394784846014,1.5
CC[N+]1(C)C[C@@H](C)C[C@H](C)C1,-13.242302396920936,-12.723854934535645,1.5
CC[N+]1(C)C[C@H](C)C[C@@H](C)C1,-12.987593625730211,-12.273546923196394,1.5
CC[N+]1(C)C[C@H]2CCCCCC[C@@H]2C1,-11.023757678304102,-12.184020181916726,0.368389914458211
CC[N+]1(C)[C@@H](C)CCC[C@@H]1C,-15.858028918286273,-13.585615945295663,0.9967966526545204
CC[N+]1(C)[C@@H](C)CCC[C@H]1C,-16.334813840372103,-11.87765904213652,-0.04559333866695425
CC[N+]1(C)[C@H](C)CCC[C@H]1C,-15.506096155735586,-12.097122719097266,-1.5
