SMILES,Axis 1 (Angstrom),Axis 2 (Angstrom),diff
C1CC23CCC[N+]2(C1)CCC3,5.708913876728826,5.4506044554291915,0.685382087755638
C1CCC2(C1)CCC[NH2+]2,6.563733528604318,3.988220642432514,0.02329347825520678
C1CCC[N+]2(CC1)CCCCC2,8.137003874601813,5.028336352411398,-3.946480661922079
C1CCC[N+]2(CC1)CCCCCC2,8.43781825534484,5.014212825332518,-2.6378450094844013
C1CC[C@@H]2CCC[N+]3(CCCC3)[C@H]2C1,8.082041858745708,6.685415682773372,0.984465420564721
C1CC[C@@H]2CCN[C@H]2C1,6.373083336463977,4.983581109970065,-2.6812262279745234
C1CC[C@@H]2NCC[C@@H]2C1,6.155588291426279,4.907492074950401,-0.30878329642905555
C1CC[C@@H]2[C@@H](C1)CCC[N+]21CCCC1,8.29956092258612,6.22211657280558,-2.914311929641272
C1CC[C@@H]2[C@H](C1)CCC[N+]21CCCC1,8.225969112896706,5.536285638533911,-0.18424506929002682
C1CC[C@H]2NCC[C@@H]2C1,6.372847523178329,4.983407363305579,
C1CC[C@H]2NCC[C@H]2C1,6.155487147352433,4.9074751396863086,4.561241475195567
C1CC[C@H]2[C@@H](C1)CCC[N+]21CCCC1,8.226056242680201,5.536295757602747,-1.0014232709582522
C1CC[N+]2(C1)CC1CCC(CC1)C2,7.595210761556707,4.604835515743705,-3.388005180791371
C1CC[N+]2(C1)CCCC2,6.434078595825036,3.9994981517351063,-0.15499383719211934
C1CC[N+]2(CC1)CCCC2,7.203175753491005,4.31987705576658,-0.5004478854978114
C1CC[N+]2(CC1)CCCCC2,7.477249739445907,4.054292787110758,-0.8576201022164511
C1CC[N+]2(CC1)CCC[C@@H]1CCCC[C@@H]12,8.151827673762604,6.125434848904048,1.7360388404346896
C1CC[N+]23CCCCC2(C1)CCCC3,6.5363781411637545,5.9498098115439335,4.905283226390628
C1COCCOCCOCCOCCO1,8.239396445488122,6.450844548045597,4.357160706756826
CC(=O)OCC[N+](C)(C)C,7.505889851041294,4.329298742957049,-0.8681765137224158
CC(C)(C)CC(C)(C)N,6.938274082786246,4.245348466791992,6.417452937345983
CC(C)(C)[P+](C)(C(C)(C)C)C(C)(C)C,7.379777109233898,6.778469592073059,0.5832078033590129
CC(C)(C)c1cccc(C(C)(C)C)n1,8.435455246384402,6.09753059770445,
CC(C)C[N+]1(C)CCCC1,7.8010562867351,4.247112392467434,-1.951990760114981
CC(C)N1C[C@@H]2C[C@H](C1)C[N+](C)(C)C2,8.255295494812593,5.677521108918202,1.902878568476698
CC(C)NC(C)C,6.5387085807545375,4.013966753813516,-1.1646618118926817
CC(C)NCCN,6.583340048184523,4.2098827811492745,-2.9232559844143697
CC(C)[C@@H]1CCCC[N+]1(C)C,7.240115515074122,5.870841083359813,-0.29477519645218564
CC(C)[C@H]1CCCC[N+]1(C)C,7.270405831047232,5.8338427468586485,-0.012422203001808185
CC(C)[C@]12C=C[C@](C)(CC1)[C@H]1C[N+](C)(C)C[C@H]12,8.444086925934359,7.084569918413572,
CC(C)[N+](C)(C)C(C)C,6.74011018063305,4.557310954150374,0.24353126896577137
CC(C)[N+]1(C)CCCC1,6.103858524055902,4.346190024993226,1.1715261323827288
CC(C)[N+]1(C)C[C@@H](C)C[C@@H](C)C1,6.844579706701674,6.110799052927272,1.8797839973803132
