,Time (min),X (%),system
0,0.0,99.6,AEI_aminophosphonium
1,6.2,99.9,AEI_aminophosphonium
2,12.4,99.9,AEI_aminophosphonium
3,18.6,100.0,AEI_aminophosphonium
4,24.8,100.0,AEI_aminophosphonium
5,31.0,100.0,AEI_aminophosphonium
6,37.2,100.0,AEI_aminophosphonium
7,43.4,100.0,AEI_aminophosphonium
8,49.6,100.0,AEI_aminophosphonium
9,55.8,100.0,AEI_aminophosphonium
10,62.0,100.0,AEI_aminophosphonium
11,68.2,100.0,AEI_aminophosphonium
12,74.4,100.0,AEI_aminophosphonium
13,80.6,100.0,AEI_aminophosphonium
14,86.8,100.0,AEI_aminophosphonium
15,93.0,100.0,AEI_aminophosphonium
16,99.2,100.0,AEI_aminophosphonium
17,105.4,100.0,AEI_aminophosphonium
18,111.6,100.0,AEI_aminophosphonium
19,117.8,100.0,AEI_aminophosphonium
20,124.0,100.0,AEI_aminophosphonium
21,130.2,100.0,AEI_aminophosphonium
22,136.4,100.0,AEI_aminophosphonium
23,142.6,100.0,AEI_aminophosphonium
24,148.9,100.0,AEI_aminophosphonium
25,155.1,100.0,AEI_aminophosphonium
26,161.3,100.0,AEI_aminophosphonium
27,167.5,100.0,AEI_aminophosphonium
28,173.7,100.0,AEI_aminophosphonium
29,179.9,100.0,AEI_aminophosphonium
30,186.1,100.0,AEI_aminophosphonium
31,192.3,100.0,AEI_aminophosphonium
32,198.5,100.0,AEI_aminophosphonium
33,204.7,100.0,AEI_aminophosphonium
34,210.9,100.0,AEI_aminophosphonium
35,217.1,100.0,AEI_aminophosphonium
36,223.3,100.0,AEI_aminophosphonium
37,229.5,100.0,AEI_aminophosphonium
38,235.7,100.0,AEI_aminophosphonium
39,241.9,100.0,AEI_aminophosphonium
40,248.1,100.0,AEI_aminophosphonium
41,254.3,100.0,AEI_aminophosphonium
42,260.5,100.0,AEI_aminophosphonium
43,266.7,100.0,AEI_aminophosphonium
44,272.9,100.0,AEI_aminophosphonium
45,279.1,100.0,AEI_aminophosphonium
46,285.3,99.9,AEI_aminophosphonium
47,291.5,100.0,AEI_aminophosphonium
48,297.7,99.9,AEI_aminophosphonium
49,303.9,99.9,AEI_aminophosphonium
50,310.1,99.9,AEI_aminophosphonium
51,316.3,99.9,AEI_aminophosphonium
