,Zeolite,SMILES,Charge center,Binding (SiO2),SCScore,In literature?
0,CHA,C1CCC[N+]2(CC1)CCCCCC2,6.702477712978781e-06,-13.925312413287187,1.3230111440610617,0.0
1,CHA,C[C@@H]1CCC[C@@H](C)[N+]1(C)C,0.8204690364913224,-13.825383616905874,1.6120924057258934,0.0
2,CHA,CCCC[N+]1(C)CCCC1,0.8816009654521272,-14.336580053695558,1.4192907144018791,0.0
3,CHA,C[C@H]1CCC[C@H](C)[N+]1(C)C,0.8204776558649144,-13.932995110165699,1.9022391998344528,0.0
4,CHA,CC1(C)[C@H]2CC=C(C[N+](C)(C)C)[C@@H]1C2,2.6744612149798477,-14.665735366921728,1.1930027961474854,0.0
5,CHA,C[N+]1(C)CCCC[C@@H]2CCCC[C@H]21,1.473104482134173,-14.016840930054775,1.845565615128718,0.0
6,CHA,C[C@@H]1CCC[C@@H](C)[N+]12CCCCC2,0.27405690660157467,-13.985525307519195,1.945056298849476,0.0
7,CHA,CCC[N+]12CCC(CC1)CC2,0.29744413677942766,-14.106634828453481,1.9620252665400333,0.0
8,CHA,CC[N+]12C[N@]3C[N@@](C1)C[N@](C2)C3,0.9249961561175662,-14.173952526124936,1.7052277916660592,0.0
9,CHA,CC[P+](CC)(CC)CC,7.628967843742991e-06,-14.682730826487315,1.100528038171296,1.0
10,CHA,C[N+](C)(C)C1CCCCC1,1.580528396447035,-14.673041744266893,1.0015264289825456,1.0
11,CHA,CC[N+](CC)(CC)CC,1.2095796197042186e-05,-14.289698160335641,1.0241055570179505,1.0
12,CHA,CC[N+](C)(C(C)C)C(C)C,0.42699391339911796,-14.595800156638322,1.2715592396088835,0.0
13,CHA,C[N+](C)(C)C1[C@H]2CC[C@@H]1[C@@H]1CCC[C@H]21,2.3081714153786552,-14.810443051997865,1.9232110160941136,0.0
14,CHA,CCCCCC[N+](C)(C)C,2.51491874020523,-14.565505697163776,1.000040666742547,0.0
15,CHA,CC(C)C[N+]1(C)CCCC1,0.6781958713107404,-14.581748973287734,1.8106227630350216,0.0
