aluminum_id,aluminum_idx,aluminum_ring,cation,energy,nn,al_dist
1-8M,1,8M,Co,217.7131929753814,1,3.1403490977625435
2-8M,2,8M,Co,232.9646837801265,1,3.025090743416158
3-8M,3,8M,Co,93.56713678143569,1,3.459116406507358
4-6M,4,6M,Co,117.10603985673515,1,3.007092880068591
4-8M,4,8M,Co,234.54126541950973,1,2.983185216450198
5-8M,5,8M,Co,82.02123882606975,1,3.3797104005815024
6-8M,6,8M,Co,81.68268343099044,1,3.531526643447596
7-6M,7,6M,Co,53.879162199562415,1,3.2775417987143913
7-8M,7,8M,Co,153.46329888145556,1,3.165368900315449
8-6M,8,6M,Co,13.686342675267952,1,3.2863303362893426
8-8M,8,8M,Co,93.02267400344135,1,3.457450229491784
9-6M,9,6M,Co,168.46704144609976,1,3.0906515613541363
9-8M,9,8M,Co,81.88617385667749,1,3.3747580320865986
10-8M,10,8M,Co,174.9880159914901,2,4.480607115684597
11-6M,11,6M,Co,117.31697315970086,2,4.420659107973089
11-8M,11,8M,Co,170.16264737120946,2,4.5517561195203475
12-6M,12,6M,Co,62.697159765142715,2,4.434028227776128
12-8M,12,8M,Co,182.4467602673394,2,4.447917787452515
13-6M,13,6M,Co,61.8073335881345,2,4.430180176621987
13-8M,13,8M,Co,224.50620014997548,2,4.189977975605169
14-6M,14,6M,Co,390.19564162014285,2,5.882330269457688
14-8M,14,8M,Co,95.05734959041001,2,5.86421516751022
15-8M,15,8M,Co,99.16267049004091,2,5.6499169534504405
16-6M,16,6M,Co,147.23258014695602,2,5.734703493997103
16-6M,16,6M,Co,432.8541530398652,2,5.599174423703278
16-8M,16,8M,Co,98.42261750396574,2,5.647520028695515
17-6M,17,6M,Co,86.96375991695095,2,5.909579261261683
17-8M,17,8M,Co,95.2946494356147,2,5.861272366806203
18-6M,18,6M,Co,13.07389344915282,2,5.284854792009399
18-8M,18,8M,Co,179.62321880820673,2,5.699554992556572
19-6M,19,6M,Co,389.9621780310408,2,5.871790004295994
19-8M,19,8M,Co,94.96542417057208,2,5.86221898520061
20-6M,20,6M,Co,101.49939625279512,3,6.101698806666063
20-8M,20,8M,Co,203.9110148541804,3,6.271458875781166
21-6M,21,6M,Co,85.68117289434304,3,6.261213099934386
21-6M,21,6M,Co,393.98972694179974,3,6.208128100711259
21-8M,21,8M,Co,230.47957325007883,3,6.299053852013124
22-8M,22,8M,Co,154.8089998437208,3,6.81051825075385
23-6M,23,6M,Co,435.63110463449266,3,7.393665579953614
23-8M,23,8M,Co,154.63851415002136,3,6.9818319705296865
24-8M,24,8M,Co,156.18393585670856,3,6.8924017272023965
25-6M,25,6M,Co,141.36107720827567,3,7.082928719853002
25-8M,25,8M,Co,159.75442031832063,3,5.779769683048035
26-6M,26,6M,Co,119.67161817537271,3,7.3980808614750115
26-8M,26,8M,Co,154.74309168933542,3,6.819829537376423
27-8M,27,8M,Co,155.8086378884327,3,6.877133858063739
28-6M,28,6M,Co,0.0,3,6.1237925241301765
28-8M,28,8M,Co,214.7013420900912,3,6.102368591715622
29-6M,29,6M,Co,430.40120396009297,4,7.911518157477875
29-8M,29,8M,Co,192.11154191050446,4,8.093607155083518
30-6M,30,6M,Co,133.65800895620487,4,7.819008442066117
30-6M,30,6M,Co,428.1691956402792,4,7.806313272216189
30-8M,30,8M,Co,196.08554147096584,4,7.860435290324689
31-6M,31,6M,Co,85.26671539575909,4,6.931639983493924
31-6M,31,6M,Co,446.4064573494252,4,6.867846239178519
31-8M,31,8M,Co,222.59300825942773,4,7.014391922649469
