,x,y,system
0,5.007,630.0,CHA/AEI_calcined
1,5.02,621.0,CHA/AEI_calcined
2,5.033,624.0,CHA/AEI_calcined
3,5.046,625.0,CHA/AEI_calcined
4,5.059,626.0,CHA/AEI_calcined
5,5.072,622.0,CHA/AEI_calcined
6,5.085,624.0,CHA/AEI_calcined
7,5.098,620.0,CHA/AEI_calcined
8,5.111,617.0,CHA/AEI_calcined
9,5.124,622.0,CHA/AEI_calcined
10,5.137,622.0,CHA/AEI_calcined
11,5.15,619.0,CHA/AEI_calcined
12,5.163,624.0,CHA/AEI_calcined
13,5.176,606.0,CHA/AEI_calcined
14,5.189,616.0,CHA/AEI_calcined
15,5.202,617.0,CHA/AEI_calcined
16,5.215,623.0,CHA/AEI_calcined
17,5.228,622.0,CHA/AEI_calcined
18,5.241,615.0,CHA/AEI_calcined
19,5.254,620.0,CHA/AEI_calcined
20,5.267,610.0,CHA/AEI_calcined
21,5.28,607.0,CHA/AEI_calcined
22,5.293,609.0,CHA/AEI_calcined
23,5.306,608.0,CHA/AEI_calcined
24,5.319,605.0,CHA/AEI_calcined
25,5.332,601.0,CHA/AEI_calcined
26,5.345,607.0,CHA/AEI_calcined
27,5.358,599.0,CHA/AEI_calcined
28,5.371,599.0,CHA/AEI_calcined
29,5.384,609.0,CHA/AEI_calcined
30,5.397,604.0,CHA/AEI_calcined
31,5.41,600.0,CHA/AEI_calcined
32,5.423,594.0,CHA/AEI_calcined
33,5.436,591.0,CHA/AEI_calcined
34,5.449,590.0,CHA/AEI_calcined
35,5.462,595.0,CHA/AEI_calcined
36,5.475,595.0,CHA/AEI_calcined
37,5.488,597.0,CHA/AEI_calcined
38,5.501,596.0,CHA/AEI_calcined
39,5.514,591.0,CHA/AEI_calcined
40,5.527,585.0,CHA/AEI_calcined
41,5.54,586.0,CHA/AEI_calcined
42,5.553,586.0,CHA/AEI_calcined
43,5.566,582.0,CHA/AEI_calcined
44,5.579,589.0,CHA/AEI_calcined
45,5.592,585.0,CHA/AEI_calcined
46,5.605,580.0,CHA/AEI_calcined
47,5.618,583.0,CHA/AEI_calcined
48,5.631,587.0,CHA/AEI_calcined
49,5.644,584.0,CHA/AEI_calcined
50,5.657,580.0,CHA/AEI_calcined
51,5.67,580.0,CHA/AEI_calcined
52,5.683,573.0,CHA/AEI_calcined
53,5.696,575.0,CHA/AEI_calcined
54,5.709,580.0,CHA/AEI_calcined
55,5.722,579.0,CHA/AEI_calcined
56,5.735,581.0,CHA/AEI_calcined
57,5.748,582.0,CHA/AEI_calcined
58,5.761,580.0,CHA/AEI_calcined
59,5.774,578.0,CHA/AEI_calcined
60,5.787,581.0,CHA/AEI_calcined
61,5.8,589.0,CHA/AEI_calcined
62,5.813,584.0,CHA/AEI_calcined
63,5.826,577.0,CHA/AEI_calcined
64,5.839,580.0,CHA/AEI_calcined
65,5.852,574.0,CHA/AEI_calcined
66,5.865,565.0,CHA/AEI_calcined
67,5.878,570.0,CHA/AEI_calcined
68,5.891,580.0,CHA/AEI_calcined
69,5.904,576.0,CHA/AEI_calcined
70,5.917,564.0,CHA/AEI_calcined
71,5.93,563.0,CHA/AEI_calcined
72,5.943,570.0,CHA/AEI_calcined
73,5.956,566.0,CHA/AEI_calcined
74,5.969,566.0,CHA/AEI_calcined
75,5.982,567.0,CHA/AEI_calcined
76,5.995,571.0,CHA/AEI_calcined
