Time (min),X (%),C1+Paraffins,C2=,C3=,C4=,C5+,C3=/C2=,C4=/C2=
0.0,99.9,32.4,21.1,33.9,10.1,2.5,1.61,0.48
6.2,100.0,25.1,23.1,32.5,16.1,3.2,1.40,0.70
12.4,100.0,24.6,22.8,32.3,17.1,3.2,1.42,0.75
18.6,100.0,13.1,22.9,43.1,17.7,3.2,1.88,0.77
24.8,100.0,12.9,23.2,42.9,17.9,3.1,1.85,0.77
31.0,99.9,12.8,23.4,42.8,18.0,3.0,1.83,0.77
37.2,100.0,10.8,23.8,44.2,18.3,2.9,1.86,0.77
43.4,100.0,10.7,23.9,44.1,18.5,2.9,1.84,0.77
49.6,100.0,10.6,24.2,43.9,18.5,2.8,1.81,0.77
55.8,100.0,9.3,24.5,44.8,18.7,2.8,1.83,0.76
62.0,100.0,9.2,24.7,44.6,18.8,2.7,1.81,0.76
68.2,100.0,9.2,25.0,44.5,18.7,2.7,1.78,0.75
74.4,100.0,8.3,25.4,45.0,18.8,2.6,1.77,0.74
80.6,100.0,8.3,25.7,44.9,18.6,2.6,1.75,0.72
86.8,100.0,8.2,25.8,44.8,18.8,2.4,1.74,0.73
93.0,100.0,7.4,26.2,45.3,18.7,2.4,1.73,0.72
99.2,100.0,7.4,26.3,45.2,18.8,2.4,1.72,0.71
105.4,100.0,7.4,26.7,45.0,18.6,2.3,1.68,0.70
111.6,100.0,6.8,26.9,45.3,18.7,2.3,1.68,0.69
117.8,100.0,6.8,27.2,45.3,18.6,2.2,1.67,0.68
124.0,100.0,6.8,27.5,45.1,18.5,2.2,1.64,0.67
130.2,100.0,6.2,27.8,45.5,18.4,2.1,1.64,0.66
136.4,100.0,6.2,27.8,45.3,18.5,2.2,1.63,0.67
142.6,100.0,6.1,27.8,45.2,18.7,2.1,1.62,0.67
148.9,100.0,5.7,28.2,45.4,18.6,2.1,1.61,0.66
155.1,100.0,5.7,28.4,45.3,18.5,2.0,1.60,0.65
161.3,100.0,5.7,28.6,45.2,18.5,2.0,1.58,0.65
167.5,100.0,5.3,28.9,45.5,18.4,2.0,1.58,0.64
173.7,100.0,5.3,29.1,45.4,18.3,1.9,1.56,0.63
179.9,100.0,5.2,29.3,45.2,18.3,1.9,1.54,0.62
186.1,100.0,4.9,29.5,45.5,18.3,1.9,1.54,0.62
192.3,100.0,4.9,29.7,45.4,18.2,1.8,1.53,0.61
198.5,100.0,4.8,29.9,45.2,18.2,1.9,1.51,0.61
204.7,100.0,4.6,30.0,45.4,18.2,1.8,1.51,0.61
210.9,100.0,4.5,30.3,45.3,18.1,1.8,1.50,0.60
217.1,100.0,4.6,30.5,45.2,18.0,1.7,1.48,0.59
223.3,100.0,4.2,30.5,45.4,18.0,1.8,1.49,0.59
229.5,100.0,4.2,30.8,45.3,18.0,1.7,1.47,0.58
235.7,100.0,4.2,30.9,45.2,17.9,1.7,1.46,0.58
241.9,100.0,4.0,31.2,45.4,17.8,1.7,1.46,0.57
248.1,100.0,3.9,31.3,45.3,17.8,1.7,1.45,0.57
254.3,100.0,3.9,31.5,45.1,17.8,1.6,1.43,0.57
260.5,100.0,3.8,31.7,45.2,17.7,1.6,1.43,0.56
266.7,100.0,3.7,31.7,45.2,17.7,1.6,1.43,0.56
